cond_a,seed_a,cond_b,seed_b,acc_a,acc_b,acc_diff,fr_rd,cka,weight_l2
clean,0,clean,1,0.8939999938011169,0.8920000195503235,0.001999974250793457,0.13408523797988892,0.9405230283737183,21.613161087036133
clean,0,clean,2,0.8939999938011169,0.8859999775886536,0.008000016212463379,0.12275904417037964,0.9158034920692444,21.564741134643555
clean,0,clean,3,0.8939999938011169,0.9020000100135803,0.008000016212463379,0.12692400813102722,0.9374032616615295,21.652462005615234
clean,0,clean,4,0.8939999938011169,0.8899999856948853,0.0040000081062316895,0.14163394272327423,0.9369280934333801,21.57900619506836
clean,0,clean,5,0.8939999938011169,0.8980000019073486,0.0040000081062316895,0.12009395658969879,0.9518051743507385,21.389455795288086
clean,0,clean,6,0.8939999938011169,0.8859999775886536,0.008000016212463379,0.11867041885852814,0.9302412271499634,21.687793731689453
clean,0,clean,7,0.8939999938011169,0.8920000195503235,0.001999974250793457,0.1302444189786911,0.931746780872345,21.76495361328125
clean,0,clean,8,0.8939999938011169,0.8939999938011169,0.0,0.12343911826610565,0.9351944327354431,21.87919807434082
clean,0,clean,9,0.8939999938011169,0.8920000195503235,0.001999974250793457,0.10406779497861862,0.9426610469818115,21.57337188720703
clean,0,noisy_30,0,0.8939999938011169,0.7099999785423279,0.18400001525878906,0.954237699508667,0.46043848991394043,16.603195190429688
clean,0,noisy_30,1,0.8939999938011169,0.6800000071525574,0.21399998664855957,1.034472942352295,0.4955960810184479,26.068140029907227
clean,0,noisy_30,2,0.8939999938011169,0.7139999866485596,0.18000000715255737,0.9227222204208374,0.4274415373802185,26.095191955566406
clean,0,noisy_30,3,0.8939999938011169,0.7400000095367432,0.15399998426437378,0.8803473114967346,0.4588698148727417,26.214853286743164
clean,0,noisy_30,4,0.8939999938011169,0.656000018119812,0.23799997568130493,1.1200517416000366,0.465414822101593,25.965938568115234
clean,0,noisy_30,5,0.8939999938011169,0.6919999718666077,0.20200002193450928,0.9961785674095154,0.39748042821884155,26.01420021057129
clean,0,noisy_30,6,0.8939999938011169,0.7200000286102295,0.17399996519088745,0.9343628287315369,0.43661561608314514,26.224502563476562
