task,dataset,regularizer,beta,seed,epoch,step,grad_norm,loss,reconstruction,regularization
vae,mnist,fisher_rao,0.3,404,1,8,130.35330200195312,311.850403,308.704102,10.487635
vae,mnist,fisher_rao,1.0,404,0,0,66.6938247680664,549.423096,549.334229,0.088891
vae,mnist,fisher_rao,1.0,404,1,8,115.04669189453125,316.120575,307.222595,8.89797
vae,mnist,kl,0.1,505,0,0,63.442562103271484,549.65979,549.655945,0.038561
vae,mnist,kl,0.1,505,1,8,145.27395629882812,310.856506,310.063721,7.927727
vae,mnist,kl,0.3,505,0,0,63.97947311401367,549.696411,549.68512,0.03773
vae,mnist,kl,0.3,505,1,8,135.85165405273438,314.561066,312.048889,8.373873
vae,mnist,kl,1.0,505,0,0,63.672393798828125,549.776062,549.738037,0.03803
vae,mnist,kl,1.0,505,1,8,124.10562133789062,316.654663,309.446838,7.207836
vae,mnist,kl,3.0,505,0,0,63.624996185302734,549.905334,549.785706,0.039872
vae,mnist,kl,3.0,505,1,8,100.211181640625,320.272278,303.53418,5.579361
vae,mnist,fisher_rao,0.03,505,0,0,63.44102478027344,549.658264,549.655945,0.076693
vae,mnist,fisher_rao,0.03,505,1,8,146.61854553222656,310.401245,310.091095,10.338554
vae,mnist,fisher_rao,0.1,505,0,0,63.97561264038086,549.692627,549.68512,0.074911
vae,mnist,fisher_rao,0.1,505,1,8,139.27139282226562,313.107086,312.034302,10.727696
vae,mnist,fisher_rao,0.3,505,0,0,63.658531188964844,549.760742,549.738037,0.075661
vae,mnist,fisher_rao,0.3,505,1,8,135.3250732421875,312.217377,309.260345,9.856758
vae,mnist,fisher_rao,1.0,505,0,0,63.573448181152344,549.865173,549.785706,0.079466
vae,mnist,fisher_rao,1.0,505,1,8,116.38050079345703,310.609375,302.434204,8.175169
vae,fashion_mnist,kl,0.1,101,0,0,45.70186996459961,551.414246,551.407776,0.064814
vae,fashion_mnist,kl,0.1,101,1,8,129.5787353515625,440.455231,437.410492,30.447372
vae,fashion_mnist,kl,0.3,101,0,0,46.76149368286133,551.324036,551.306152,0.059612
vae,fashion_mnist,kl,0.3,101,1,8,120.50802612304688,438.324646,430.776611,25.160154
vae,fashion_mnist,kl,1.0,101,0,0,46.433658599853516,551.16272,551.10376,0.058931
vae,fashion_mnist,kl,1.0,101,1,8,109.36066436767578,443.120758,430.514771,12.605993
vae,fashion_mnist,kl,3.0,101,0,0,46.508087158203125,551.290039,551.102783,0.062412
vae,fashion_mnist,kl,3.0,101,1,8,46.508087158203125,437.280853,427.473511,3.269112
vae,fashion_mnist,fisher_rao,0.03,101,0,0,46.40286636352539,551.271851,551.268066,0.126494
vae,fashion_mnist,fisher_rao,0.03,101,1,8,97.0628433227539,419.854767,418.525421,44.311844
vae,fashion_mnist,fisher_rao,0.1,101,0,0,45.338199615478516,551.039185,551.026489,0.126908
vae,fashion_mnist,fisher_rao,0.1,101,1,8,101.7594223022461,433.211456,429.669861,35.415825
vae,fashion_mnist,fisher_rao,0.3,101,0,0,47.72675704956055,551.27832,551.245056,0.110844
vae,fashion_mnist,fisher_rao,0.3,101,1,8,74.88188171386719,433.045654,427.440125,18.685081
vae,fashion_mnist,fisher_rao,1.0,101,0,0,46.957977294921875,551.434692,551.300598,0.134106
vae,fashion_mnist,fisher_rao,1.0,101,1,8,60.44430160522461,441.1698,431.604858,9.564946
vae,fashion_mnist,kl,0.1,202,0,0,47.0301513671875,547.863464,547.854065,0.094228
vae,fashion_mnist,kl,0.1,202,1,8,139.24452209472656,418.036285,415.075073,29.612267
vae,fashion_mnist,kl,0.3,202,0,0,45.486568450927734,548.071777,548.039734,0.106891
vae,fashion_mnist,kl,0.3,202,1,8,126.04965209960938,436.758087,430.270142,21.626476
vae,fashion_mnist,kl,1.0,202,0,0,45.23103713989258,548.037231,547.923462,0.113799
vae,fashion_mnist,kl,1.0,202,1,8,75.37492370605469,427.377472,418.822266,8.555216
vae,fashion_mnist,kl,3.0,202,0,0,46.12095642089844,548.261292,547.94928,0.103994
vae,fashion_mnist,kl,3.0,202,1,8,47.09717559814453,438.67511,431.794312,2.293596
vae,fashion_mnist,fisher_rao,0.03,202,0,0,46.82392120361328,548.075562,548.069153,0.212699
vae,fashion_mnist,fisher_rao,0.03,202,1,8,105.07949829101562,413.976654,412.888794,36.262054
vae,fashion_mnist,fisher_rao,0.1,202,0,0,44.92985916137695,547.869812,547.8479,0.218839
vae,fashion_mnist,fisher_rao,0.1,202,1,8,96.95008087158203,421.084167,418.072144,30.120365
vae,fashion_mnist,fisher_rao,0.3,202,0,0,46.72874450683594,548.544128,548.485352,0.195965
vae,fashion_mnist,fisher_rao,0.3,202,1,8,99.84998321533203,433.277283,427.087463,20.632767
vae,fashion_mnist,fisher_rao,1.0,202,0,0,46.64643859863281,548.300842,548.095581,0.205263
vae,fashion_mnist,fisher_rao,1.0,202,1,8,54.93885040283203,426.46698,419.075012,7.391974
vae,fashion_mnist,kl,0.1,303,0,0,48.22087478637695,550.761475,550.755371,0.060964
vae,fashion_mnist,kl,0.1,303,1,8,96.98226165771484,430.6203,428.075623,25.446815
vae,fashion_mnist,kl,0.3,303,0,0,48.38120651245117,550.551941,550.531311,0.06871
vae,fashion_mnist,kl,0.3,303,1,8,67.23060607910156,433.00177,427.569733,18.106831
vae,fashion_mnist,kl,1.0,303,0,0,50.177738189697266,550.735962,550.674683,0.061259
vae,fashion_mnist,kl,1.0,303,1,8,71.98711395263672,434.520508,427.401276,7.119227
vae,fashion_mnist,kl,3.0,303,0,0,51.201934814453125,551.025757,550.829163,0.065525
vae,fashion_mnist,kl,3.0,303,1,8,51.201934814453125,436.324951,429.779114,2.181944
vae,fashion_mnist,fisher_rao,0.03,303,0,0,49.30097961425781,550.913147,550.909363,0.126001
vae,fashion_mnist,fisher_rao,0.03,303,1,8,98.31360626220703,436.550446,435.576172,32.475288
vae,fashion_mnist,fisher_rao,0.1,303,0,0,49.514854431152344,551.001404,550.989136,0.122841
vae,fashion_mnist,fisher_rao,0.1,303,1,8,75.89315795898438,427.21286,424.378479,28.343948
vae,fashion_mnist,fisher_rao,0.3,303,0,0,50.39666748046875,550.596985,550.559204,0.126025
vae,fashion_mnist,fisher_rao,0.3,303,1,8,87.94284057617188,436.348053,430.898804,18.1642
vae,fashion_mnist,fisher_rao,1.0,303,0,0,50.802703857421875,550.875,550.757507,0.117487
vae,fashion_mnist,fisher_rao,1.0,303,1,8,56.01662063598633,434.171844,426.920715,7.251116
vae,fashion_mnist,kl,0.1,404,0,0,51.175498962402344,551.517822,551.510559,0.072924
vae,fashion_mnist,kl,0.1,404,1,8,108.2047119140625,424.637054,422.308685,23.283836
vae,fashion_mnist,kl,0.3,404,0,0,51.23048782348633,551.135498,551.114258,0.070845
vae,fashion_mnist,kl,0.3,404,1,8,89.11296844482422,435.749786,430.686279,16.878393
vae,fashion_mnist,kl,1.0,404,0,0,51.31632614135742,551.192871,551.122437,0.07041
vae,fashion_mnist,kl,1.0,404,1,8,73.75025939941406,439.628052,429.170868,10.457174
vae,fashion_mnist,kl,3.0,404,0,0,52.891929626464844,551.578491,551.37561,0.067634
vae,fashion_mnist,kl,3.0,404,1,8,52.891929626464844,450.797546,442.64209,2.718486
vae,fashion_mnist,fisher_rao,0.03,404,0,0,51.67805099487305,551.43573,551.431763,0.132883
vae,fashion_mnist,fisher_rao,0.03,404,1,8,135.10092163085938,443.844757,442.803345,34.713562
vae,fashion_mnist,fisher_rao,0.1,404,0,0,51.92490005493164,551.582947,551.569946,0.129991
vae,fashion_mnist,fisher_rao,0.1,404,1,8,72.63420867919922,426.001495,423.645935,23.555641
vae,fashion_mnist,fisher_rao,0.3,404,0,0,52.493934631347656,551.102173,551.061951,0.134073
vae,fashion_mnist,fisher_rao,0.3,404,1,8,70.24881744384766,438.420746,432.577759,19.476601
vae,fashion_mnist,fisher_rao,1.0,404,0,0,50.888893127441406,551.709717,551.572815,0.136887
vae,fashion_mnist,fisher_rao,1.0,404,1,8,54.43893051147461,437.948547,428.77063,9.177928
vae,fashion_mnist,kl,0.1,505,0,0,46.04309844970703,550.330566,550.323364,0.072156
vae,fashion_mnist,kl,0.1,505,1,8,110.26728820800781,435.161407,432.811646,23.497524
vae,fashion_mnist,kl,0.3,505,0,0,46.91219711303711,550.274963,550.255249,0.065667
vae,fashion_mnist,kl,0.3,505,1,8,76.31887817382812,432.982635,427.671509,17.703743
vae,fashion_mnist,kl,1.0,505,0,0,45.21677780151367,550.214844,550.141724,0.073117
vae,fashion_mnist,kl,1.0,505,1,8,66.52137756347656,429.896667,419.882812,10.013867
vae,fashion_mnist,kl,3.0,505,0,0,47.2042121887207,550.387512,550.189697,0.065943
vae,fashion_mnist,kl,3.0,505,1,8,59.90214157104492,447.022369,438.383789,2.879529
vae,fashion_mnist,fisher_rao,0.03,505,0,0,45.89140319824219,550.149719,550.145508,0.14014
vae,fashion_mnist,fisher_rao,0.03,505,1,8,104.34104919433594,430.828033,429.569611,41.946938
vae,fashion_mnist,fisher_rao,0.1,505,0,0,46.92036437988281,549.996765,549.983765,0.130296
vae,fashion_mnist,fisher_rao,0.1,505,1,8,124.864501953125,435.934662,432.44223,34.924419
vae,fashion_mnist,fisher_rao,0.3,505,0,0,46.703468322753906,550.264893,550.224121,0.135867
vae,fashion_mnist,fisher_rao,0.3,505,1,8,92.8204345703125,431.792908,426.019409,19.244965
vae,fashion_mnist,fisher_rao,1.0,505,0,0,46.88910675048828,550.202148,550.066162,0.136011
vae,fashion_mnist,fisher_rao,1.0,505,1,8,56.29624938964844,440.672272,432.837219,7.835059
