task,dataset,objective,noise_std_fraction,seed,final_loss,eval_trustworthiness,eval_neighborhood_recall,eval_silhouette,eval_knn_accuracy
tsne,digits,fisher_rao,1.0,303,1.8880085945129395,0.8482195121951219,0.36400000000000005,-0.03188053518533707,0.7333333333333333
tsne,digits,kl,1.0,404,1.0394411087036133,0.8296151761517615,0.32349999999999995,-0.015729248523712158,0.6
tsne,digits,fisher_rao,1.0,404,1.996756672859192,0.825910569105691,0.3165,-0.048792026937007904,0.7
tsne,digits,kl,1.0,505,0.977860689163208,0.8477750677506775,0.32549999999999996,0.04898655787110329,0.7
tsne,digits,fisher_rao,1.0,505,1.8584811687469482,0.8616476964769648,0.37150000000000005,0.017484478652477264,0.7166666666666667
tsne,mnist,kl,0.0,101,0.6509272456169128,0.7880569105691058,0.38299999999999995,0.03642193228006363,0.6833333333333333
tsne,mnist,fisher_rao,0.0,101,1.3142668008804321,0.7868834688346884,0.38799999999999996,-0.0771573856472969,0.5833333333333334
tsne,mnist,kl,0.0,202,0.6849362254142761,0.7746585365853659,0.37549999999999994,-0.016986066475510597,0.6666666666666666
tsne,mnist,fisher_rao,0.0,202,1.3508327007293701,0.7923794037940379,0.39,-0.05704472213983536,0.6833333333333333
tsne,mnist,kl,0.0,303,0.6077390313148499,0.7981355013550135,0.38299999999999995,0.049502767622470856,0.6666666666666666
tsne,mnist,fisher_rao,0.0,303,1.2922295331954956,0.7835474254742547,0.39049999999999996,-0.028637968003749847,0.6833333333333333
tsne,mnist,kl,0.0,404,0.6316671371459961,0.800609756097561,0.3925,-0.027102181687951088,0.6333333333333333
tsne,mnist,fisher_rao,0.0,404,1.283402442932129,0.8053712737127372,0.40149999999999997,-0.04485278204083443,0.5666666666666667
tsne,mnist,kl,0.0,505,0.5778113603591919,0.8051978319783197,0.401,0.049137383699417114,0.6333333333333333
tsne,mnist,fisher_rao,0.0,505,1.2876324653625488,0.7906775067750678,0.3875,-0.03394870087504387,0.6
tsne,mnist,kl,0.25,101,0.6834287643432617,0.7848617886178861,0.387,-0.06751927733421326,0.6833333333333333
tsne,mnist,fisher_rao,0.25,101,1.2896409034729004,0.7927777777777778,0.38949999999999996,-0.06832631677389145,0.5833333333333334
tsne,mnist,kl,0.25,202,0.6289443969726562,0.7982845528455285,0.376,-0.022594179958105087,0.6333333333333333
