objective,fn_rate,knn_accuracy_mean,knn_accuracy_std,n_seeds
fr_contrastive,0.0,0.9849999904632568,0.0024845264909127106,5
fr_contrastive,0.1,0.9855555534362793,0.002324036789927931,5
fr_contrastive,0.2,0.9844444513320922,0.001521439215386704,5
fr_contrastive,0.3,0.9861111044883728,0.0019641695811531946,5
nt_xent,0.0,0.9866666555404663,0.002324036789927931,5
nt_xent,0.1,0.9855555534362793,0.001242249917452606,5
nt_xent,0.2,0.9844444394111633,0.0024845231589452873,5
nt_xent,0.3,0.9855555534362793,0.001242249917452606,5
