objective,seed,epoch,sample_type,mean_grad_norm,loss
kl,0,0,clean,1.4995056940682328,0.8203608989715576
kl,0,0,noisy,2.6253162491766027,2.8048198223114014
kl,0,5,clean,1.4710479628275404,0.6059588193893433
kl,0,5,noisy,2.5128209873971263,2.200920581817627
kl,0,10,clean,1.649470221084781,0.4370841979980469
kl,0,10,noisy,3.080225332052599,1.5760078430175781
kl,0,15,clean,1.6232513023338866,0.2746651768684387
kl,0,15,noisy,3.701435553539777,1.1086446046829224
kl,0,20,clean,1.7092484738765463,0.19493600726127625
kl,0,20,noisy,3.5667351947493313,0.659214973449707
kl,0,25,clean,1.7780982504216527,0.15000835061073303
kl,0,25,noisy,4.112266354448859,0.49831491708755493
kl,0,30,clean,1.8035201774902618,0.1173674538731575
kl,0,30,noisy,2.5378904176312975,0.2666471600532532
kl,0,35,clean,1.2279567110972398,0.06763751804828644
kl,0,35,noisy,3.638238542444518,0.3112272620201111
kl,0,40,clean,1.3155772160921608,0.0651959776878357
kl,0,40,noisy,3.3389665577769594,0.1980900764465332
kl,0,45,clean,0.9150424887666454,0.04219263792037964
kl,0,45,noisy,3.2222131908166287,0.18152645230293274
kl,0,50,clean,0.6550015757376718,0.03162853419780731
kl,0,50,noisy,2.5638667106747492,0.13980956375598907
kl,0,55,clean,0.7897471076226728,0.03544497489929199
kl,0,55,noisy,2.37775602228292,0.11880435049533844
kl,0,60,clean,0.714916080978704,0.03094588965177536
kl,0,60,noisy,2.113598990294679,0.10006570816040039
kl,0,65,clean,0.5461448248885922,0.02449190616607666
kl,0,65,noisy,2.281190824873484,0.11009075492620468
kl,0,70,clean,0.5535305262119925,0.021888503804802895
kl,0,70,noisy,2.470703101312391,0.10049736499786377
kl,0,75,clean,0.4917320990280382,0.020158234983682632
kl,0,75,noisy,2.4459645884424326,0.09496685862541199
kl,0,80,clean,0.5218305886268282,0.02137930691242218
kl,0,80,noisy,2.1994719257516104,0.0843723863363266
kl,0,85,clean,0.4724600879024891,0.019640164449810982
kl,0,85,noisy,2.055177747732209,0.07921984791755676
kl,0,90,clean,0.5093891283938351,0.02055199071764946
kl,0,90,noisy,2.0967491756198324,0.07770442217588425
kl,0,95,clean,0.4910754363459394,0.01995079219341278
kl,0,95,noisy,2.136767471941892,0.07893634587526321
kl,0,99,clean,0.4883776085088193,0.01986008882522583
kl,0,99,noisy,2.1448427476882688,0.07922358810901642
fisher_rao,0,0,clean,3.6950504502939294,2.2801551818847656
fisher_rao,0,0,noisy,3.426302583085354,7.185934066772461
fisher_rao,0,5,clean,2.8250756912843658,0.990430474281311
fisher_rao,0,5,noisy,3.6928871527595937,7.341110706329346
fisher_rao,0,10,clean,3.094152425468995,0.7057603597640991
fisher_rao,0,10,noisy,5.677575942190315,6.112513542175293
fisher_rao,0,15,clean,3.2378567627978443,0.4553017020225525
fisher_rao,0,15,noisy,7.9362555228398355,4.184509754180908
fisher_rao,0,20,clean,4.0773328884447055,0.40269702672958374
fisher_rao,0,20,noisy,8.120350456102623,2.677189350128174
fisher_rao,0,25,clean,5.1085182632525585,0.3540758192539215
fisher_rao,0,25,noisy,9.601792779052023,1.8096473217010498
fisher_rao,0,30,clean,4.187612787879536,0.23564715683460236
fisher_rao,0,30,noisy,7.098338561907186,1.0921648740768433
fisher_rao,0,35,clean,2.192894415999595,0.10352155566215515
fisher_rao,0,35,noisy,8.203775942993747,0.9707205295562744
fisher_rao,0,40,clean,1.7135035760643167,0.07388800382614136
fisher_rao,0,40,noisy,10.184733860778591,0.9034957885742188
fisher_rao,0,45,clean,2.5277993889744423,0.09402641654014587
fisher_rao,0,45,noisy,7.851041505576983,0.4863891005516052
fisher_rao,0,50,clean,1.4520199928449231,0.0556054413318634
fisher_rao,0,50,noisy,6.957027423750523,0.42226988077163696
fisher_rao,0,55,clean,2.641430258299569,0.08270476758480072
fisher_rao,0,55,noisy,6.361862710138805,0.3817485570907593
fisher_rao,0,60,clean,1.770314172618246,0.05024604871869087
fisher_rao,0,60,noisy,6.106244150193048,0.3590054512023926
fisher_rao,0,65,clean,1.3796306722248177,0.04430101439356804
fisher_rao,0,65,noisy,7.494896060392319,0.4021701216697693
fisher_rao,0,70,clean,1.625960385039035,0.0469091534614563
fisher_rao,0,70,noisy,6.426832096158422,0.3514533042907715
fisher_rao,0,75,clean,1.787451735851339,0.045013971626758575
fisher_rao,0,75,noisy,7.568087634992307,0.35632526874542236
fisher_rao,0,80,clean,1.5596379843539452,0.04283875599503517
fisher_rao,0,80,noisy,6.2510592100220155,0.3236973285675049
fisher_rao,0,85,clean,1.443708541941455,0.03938482701778412
fisher_rao,0,85,noisy,5.541615856423369,0.3069819211959839
fisher_rao,0,90,clean,1.7971283333413506,0.04389069974422455
fisher_rao,0,90,noisy,5.5284188277007065,0.3047693967819214
fisher_rao,0,95,clean,1.5954508641869678,0.04100494831800461
fisher_rao,0,95,noisy,5.560670640198941,0.30422377586364746
fisher_rao,0,99,clean,1.5578163375938767,0.04050927609205246
fisher_rao,0,99,noisy,5.57228820051839,0.30481043457984924
gce,0,0,clean,0.6607773900295426,0.45567208528518677
gce,0,0,noisy,0.38183422680004253,1.2523438930511475
gce,0,5,clean,0.3368468914261749,0.08861435949802399
gce,0,5,noisy,0.223396131898399,1.3394509553909302
gce,0,10,clean,0.3160034324461585,0.0557054840028286
gce,0,10,noisy,0.47683880350775176,1.2700895071029663
gce,0,15,clean,0.3865070524057555,0.04992178827524185
gce,0,15,noisy,0.441863981169364,1.1707942485809326
gce,0,20,clean,0.2972202101764496,0.02641308680176735
gce,0,20,noisy,0.5858050165642554,1.0652786493301392
gce,0,25,clean,0.48795785206034514,0.03349362313747406
gce,0,25,noisy,0.6567012454089872,0.9889585971832275
gce,0,30,clean,0.3752137668218141,0.021900895982980728
gce,0,30,noisy,0.6482609128230266,0.9114730358123779
gce,0,35,clean,0.30110510426746595,0.01635993830859661
gce,0,35,noisy,0.7061291412086115,0.8208324909210205
gce,0,40,clean,0.4087958416643933,0.01984453946352005
gce,0,40,noisy,0.7205741210839447,0.7593754529953003
gce,0,45,clean,0.2876652620404461,0.013251399621367455
gce,0,45,noisy,0.913247702353218,0.7139277458190918
gce,0,50,clean,0.2570445574241608,0.011020698584616184
gce,0,50,noisy,0.7071855947296689,0.694107174873352
gce,0,55,clean,0.522288395769356,0.02089712768793106
gce,0,55,noisy,0.8045977773907432,0.649019718170166
gce,0,60,clean,0.2278392720043378,0.00842569675296545
gce,0,60,noisy,1.0389906971193588,0.64525306224823
gce,0,65,clean,0.2722059455538568,0.009123829193413258
gce,0,65,noisy,0.9260878926119428,0.6194567680358887
gce,0,70,clean,0.16009465577647922,0.0063373320735991
gce,0,70,noisy,0.6865188252115065,0.6066505908966064
gce,0,75,clean,0.22437708327667744,0.007608188781887293
gce,0,75,noisy,0.9761724683253568,0.6120398044586182
gce,0,80,clean,0.2737376571419469,0.009082939475774765
gce,0,80,noisy,0.6036118003177589,0.597874641418457
gce,0,85,clean,0.2654178162408006,0.008629713207483292
gce,0,85,noisy,0.6212236847759393,0.5945639610290527
gce,0,90,clean,0.2560968963586535,0.00863630324602127
gce,0,90,noisy,0.6912426327249596,0.5925177335739136
gce,0,95,clean,0.23909384863898908,0.008249020203948021
gce,0,95,noisy,0.645717589668247,0.5894544124603271
gce,0,99,clean,0.23645720984618063,0.008177461102604866
gce,0,99,noisy,0.6538522970307734,0.5894942283630371
mae,0,0,clean,0.9835501293318435,0.7793233394622803
mae,0,0,noisy,0.46367150684732744,1.8853998184204102
mae,0,5,clean,0.470614496523446,0.09957514703273773
mae,0,5,noisy,0.04280083827280083,1.9339972734451294
mae,0,10,clean,0.17198741596094655,0.02045293338596821
mae,0,10,noisy,0.4264433280462687,1.905333399772644
