noise_regime,schedule,seed,switch_epoch,eval_accuracy,eval_ece,eval_brier,eval_nll
sym_40,adaptive_fr_gce,0,11,0.725,0.10305929386615756,0.3924887290989584,0.8702650666236877
sym_40,fixed30_fr_gce,0,30,0.715,0.080579647295177,0.39992777704337845,0.8893726468086243
sym_40,fisher_rao,0,-1,0.66,0.06698310798406601,0.477619113422682,1.1058268547058105
sym_40,gce,0,0,0.7485,0.09503265416622159,0.3678858903989194,0.8372402787208557
sym_60,adaptive_fr_gce,0,29,0.598,0.06283062751591206,0.5450885311168118,1.2264970541000366
sym_60,fixed30_fr_gce,0,30,0.5885,0.05467820332944394,0.5519301823020563,1.2402911186218262
sym_60,fisher_rao,0,-1,0.4865,0.06061011147499085,0.6717161666893343,1.6031303405761719
sym_60,gce,0,0,0.6385,0.08855933926999571,0.5073815313527331,1.1442774534225464
asym_40,adaptive_fr_gce,0,10,0.5475,0.17801195270568132,0.6338529140652862,1.4040385484695435
asym_40,fixed30_fr_gce,0,30,0.566,0.14653452257066965,0.5995523460423159,1.278371810913086
asym_40,fisher_rao,0,-1,0.5225,0.20982509431988003,0.6680475945697587,1.4541248083114624
asym_40,gce,0,0,0.567,0.18974957958608865,0.6232365515786614,1.4111108779907227
sym_40,adaptive_fr_gce,1,13,0.7245,0.11037807324528692,0.3961525105966781,0.904537558555603
sym_40,fixed30_fr_gce,1,30,0.7275,0.07469979184865952,0.39129282278178235,0.8986667990684509
sym_40,fisher_rao,1,-1,0.6725,0.07071987740695478,0.4608773710509476,1.0952719449996948
sym_40,gce,1,0,0.7445,0.09968974462151525,0.3805593794307115,0.8777059316635132
sym_60,adaptive_fr_gce,1,13,0.6,0.09295396268367768,0.5380835109269483,1.2250336408615112
sym_60,fixed30_fr_gce,1,30,0.572,0.06663971402496098,0.5731781656406688,1.315536379814148
sym_60,fisher_rao,1,-1,0.464,0.08982151976227762,0.6837255741983289,1.6716992855072021
sym_60,gce,1,0,0.6235,0.11138918893039226,0.5275582426093537,1.2208154201507568
asym_40,adaptive_fr_gce,1,10,0.5495,0.17368614415824413,0.6216513632096061,1.3801558017730713
asym_40,fixed30_fr_gce,1,30,0.5535,0.15908909839391708,0.6050917166277222,1.3097068071365356
asym_40,fisher_rao,1,-1,0.5285,0.20227423653006554,0.6613761617515829,1.4384160041809082
asym_40,gce,1,0,0.547,0.19439393378794192,0.6378068763989957,1.413670539855957
sym_40,adaptive_fr_gce,2,19,0.725,0.08225026148557661,0.3969509117921351,0.8928964734077454
sym_40,fixed30_fr_gce,2,30,0.7065,0.07722488367557526,0.4055630002962728,0.9098131656646729
sym_40,fisher_rao,2,-1,0.644,0.07654554419219496,0.49195891741771597,1.1365962028503418
sym_40,gce,2,0,0.737,0.10166419951617718,0.3858605322322451,0.8860465288162231
sym_60,adaptive_fr_gce,2,10,0.618,0.08683355061709881,0.5233369001693404,1.1750026941299438
sym_60,fixed30_fr_gce,2,30,0.587,0.05344402758032084,0.5588743358014608,1.3016225099563599
sym_60,fisher_rao,2,-1,0.4625,0.08521907422691583,0.7110808056445955,1.7218079566955566
sym_60,gce,2,0,0.6275,0.0953991586714983,0.5145455300315372,1.1889359951019287
asym_40,adaptive_fr_gce,2,11,0.5725,0.15899959501624109,0.607280689317096,1.3373357057571411
asym_40,fixed30_fr_gce,2,30,0.5795,0.13634100386500358,0.5887343475676885,1.265676498413086
asym_40,fisher_rao,2,-1,0.549,0.1902801121920347,0.6360133106296716,1.3978087902069092
asym_40,gce,2,0,0.556,0.18775112636387348,0.6265007348326749,1.410510778427124
sym_40,adaptive_fr_gce,3,36,0.723,0.06535415717959403,0.3896481008271718,0.8835344314575195
sym_40,fixed30_fr_gce,3,30,0.7265,0.08375356440246104,0.3829590611748828,0.8547725677490234
sym_40,fisher_rao,3,-1,0.671,0.06986451165378096,0.4613651099890941,1.0880982875823975
