noise_regime,schedule,n_seeds,mean_accuracy,std_accuracy,mean_diff_vs_kl
asym_40,fisher_rao,5,0.5329,0.019368531178176624,-0.011600000000000055
asym_40,fr_then_gce,5,0.5640999999999999,0.009830564581955616,0.01959999999999984
asym_40,fr_then_kl,5,0.5455,0.014536161804272823,0.0009999999999998899
asym_40,fr_then_mae,5,0.5623,0.012347469376353998,0.017799999999999927
asym_40,gce,5,0.5564,0.005651548460377909,0.01189999999999991
asym_40,gce_then_fr,5,0.5462,0.009754998718605766,0.0016999999999999238
asym_40,hellinger,5,0.5467000000000001,0.006485368146836382,0.0021999999999999797
asym_40,kl,5,0.5445000000000001,0.006324555320336762,0.0
asym_40,kl_then_gce,5,0.5414999999999999,0.005549774770204649,-0.0030000000000002247
asym_40,mae,5,0.5359,0.04270175640415742,-0.008600000000000052
asym_40,sce,5,0.6065,0.013590437814875603,0.061999999999999944
clean,fisher_rao,5,0.8295999999999999,0.0071091490348705105,-0.001000000000000223
clean,fr_then_gce,5,0.8222999999999999,0.0048228622207149895,-0.008300000000000196
clean,fr_then_kl,5,0.8255000000000001,0.007905694150420936,-0.005099999999999993
clean,fr_then_mae,5,0.8248,0.0068014704292527735,-0.005800000000000138
clean,gce,5,0.8271000000000001,0.0052000000000000084,-0.0035000000000000586
clean,gce_then_fr,5,0.8318,0.00441134900002255,0.0011999999999998678
clean,hellinger,5,0.8328,0.004975942121849915,0.0021999999999998687
clean,kl,5,0.8306000000000001,0.009956907150315311,0.0
clean,kl_then_gce,5,0.8289,0.009640539403996038,-0.0017000000000001458
clean,mae,5,0.7657,0.047172661574263544,-0.06490000000000007
clean,sce,5,0.7948000000000001,0.0022494443758404085,-0.035800000000000054
sym_20,fisher_rao,5,0.7827,0.005075431016179812,0.05359999999999998
sym_20,fr_then_gce,5,0.7891999999999999,0.004445222154178577,0.06009999999999993
sym_20,fr_then_kl,5,0.7497,0.007839642849007828,0.020600000000000063
sym_20,fr_then_mae,5,0.7938000000000001,0.004675467891024397,0.06470000000000009
sym_20,gce,5,0.7963,0.005528109984434105,0.06720000000000004
sym_20,gce_then_fr,5,0.7919999999999999,0.005949789912257431,0.06289999999999996
sym_20,hellinger,5,0.7895,0.006066300355241246,0.06040000000000001
sym_20,kl,5,0.7291,0.006688796603276255,0.0
sym_20,kl_then_gce,5,0.7757999999999999,0.003854867053479282,0.046699999999999964
sym_20,mae,5,0.7365,0.028755868966178006,0.007400000000000073
sym_20,sce,5,0.7733999999999999,0.005247856705360772,0.044299999999999895
sym_40,fisher_rao,5,0.6709,0.004066939881532566,0.04580000000000006
sym_40,fr_then_gce,5,0.7363,0.00612045749923974,0.11119999999999997
sym_40,fr_then_kl,5,0.6574,0.00670373030483775,0.032299999999999995
sym_40,fr_then_mae,5,0.7444000000000001,0.006143289021363052,0.11930000000000007
sym_40,gce,5,0.7482,0.006352952069707403,0.12309999999999999
sym_40,gce_then_fr,5,0.7110999999999998,0.009759098319004688,0.08599999999999985
sym_40,hellinger,5,0.7189,0.004841487374764069,0.0938
sym_40,kl,5,0.6251,0.00580861429258301,0.0
sym_40,kl_then_gce,5,0.7145999999999999,0.006445153217728828,0.08949999999999991
sym_40,mae,5,0.6795,0.035410450434864564,0.054400000000000004
sym_40,sce,5,0.7382,0.005143928459844671,0.11309999999999998
sym_60,fisher_rao,5,0.46959999999999996,0.014058449416631966,0.002599999999999991
sym_60,fr_then_gce,5,0.5866,0.016472401160729417,0.11960000000000004
sym_60,fr_then_kl,5,0.4829,0.014294754282603092,0.015900000000000025
sym_60,fr_then_mae,5,0.6043000000000001,0.015088406145116856,0.1373000000000001
sym_60,gce,5,0.6283999999999998,0.01966824852395351,0.16139999999999988
sym_60,gce_then_fr,5,0.5403,0.0121433109158911,0.07330000000000003
sym_60,hellinger,5,0.5529000000000001,0.010076705810928482,0.08590000000000009
sym_60,kl,5,0.46699999999999997,0.018785632808079687,0.0
sym_60,kl_then_gce,5,0.5836,0.023042135317717417,0.11660000000000004
sym_60,mae,5,0.5795999999999999,0.052036909977438144,0.11259999999999992
sym_60,sce,5,0.6331,0.012391125856838034,0.16610000000000003
