experiment,dataset,corruption_type,stress_level,objective,baseline,eval_accuracy_n,eval_accuracy_mean_diff,eval_accuracy_wilcoxon_stat,eval_accuracy_wilcoxon_p,eval_accuracy_cliffs_delta,eval_accuracy_positive_seed_count,eval_accuracy_negative_seed_count,eval_accuracy_tie_seed_count,eval_accuracy_direction_consistency,eval_nll_n,eval_nll_mean_diff,eval_nll_wilcoxon_stat,eval_nll_wilcoxon_p,eval_nll_cliffs_delta,eval_nll_positive_seed_count,eval_nll_negative_seed_count,eval_nll_tie_seed_count,eval_nll_direction_consistency,eval_ece_n,eval_ece_mean_diff,eval_ece_wilcoxon_stat,eval_ece_wilcoxon_p,eval_ece_cliffs_delta,eval_ece_positive_seed_count,eval_ece_negative_seed_count,eval_ece_tie_seed_count,eval_ece_direction_consistency,eval_brier_n,eval_brier_mean_diff,eval_brier_wilcoxon_stat,eval_brier_wilcoxon_p,eval_brier_cliffs_delta,eval_brier_positive_seed_count,eval_brier_negative_seed_count,eval_brier_tie_seed_count,eval_brier_direction_consistency,eval_mean_true_probability_n,eval_mean_true_probability_mean_diff,eval_mean_true_probability_wilcoxon_stat,eval_mean_true_probability_wilcoxon_p,eval_mean_true_probability_cliffs_delta,eval_mean_true_probability_positive_seed_count,eval_mean_true_probability_negative_seed_count,eval_mean_true_probability_tie_seed_count,eval_mean_true_probability_direction_consistency,eval_train_corrupted_fraction_n,eval_train_corrupted_fraction_mean_diff,eval_train_corrupted_fraction_wilcoxon_stat,eval_train_corrupted_fraction_wilcoxon_p,eval_train_corrupted_fraction_cliffs_delta,eval_train_corrupted_fraction_positive_seed_count,eval_train_corrupted_fraction_negative_seed_count,eval_train_corrupted_fraction_tie_seed_count,eval_train_corrupted_fraction_direction_consistency,eval_teacher_accuracy_n,eval_teacher_accuracy_mean_diff,eval_teacher_accuracy_wilcoxon_stat,eval_teacher_accuracy_wilcoxon_p,eval_teacher_accuracy_cliffs_delta,eval_teacher_accuracy_positive_seed_count,eval_teacher_accuracy_negative_seed_count,eval_teacher_accuracy_tie_seed_count,eval_teacher_accuracy_direction_consistency,eval_teacher_error_imitation_n,eval_teacher_error_imitation_mean_diff,eval_teacher_error_imitation_wilcoxon_stat,eval_teacher_error_imitation_wilcoxon_p,eval_teacher_error_imitation_cliffs_delta,eval_teacher_error_imitation_positive_seed_count,eval_teacher_error_imitation_negative_seed_count,eval_teacher_error_imitation_tie_seed_count,eval_teacher_error_imitation_direction_consistency,eval_accuracy_on_teacher_wrong_n,eval_accuracy_on_teacher_wrong_mean_diff,eval_accuracy_on_teacher_wrong_wilcoxon_stat,eval_accuracy_on_teacher_wrong_wilcoxon_p,eval_accuracy_on_teacher_wrong_cliffs_delta,eval_accuracy_on_teacher_wrong_positive_seed_count,eval_accuracy_on_teacher_wrong_negative_seed_count,eval_accuracy_on_teacher_wrong_tie_seed_count,eval_accuracy_on_teacher_wrong_direction_consistency,eval_teacher_student_js_n,eval_teacher_student_js_mean_diff,eval_teacher_student_js_wilcoxon_stat,eval_teacher_student_js_wilcoxon_p,eval_teacher_student_js_cliffs_delta,eval_teacher_student_js_positive_seed_count,eval_teacher_student_js_negative_seed_count,eval_teacher_student_js_tie_seed_count,eval_teacher_student_js_direction_consistency
distillation,digits,clean,0.0,fisher_rao,kl,10,0.0007407407407407751,20.5,0.484375,0.04,6,4,0,0.6,10,0.035718271136283876,11.0,0.10546875,0.14,7,3,0,0.7,10,0.004167092365247237,3.0,0.009765625,0.4,9,1,0,0.9,10,0.0018609039485454558,18.0,0.375,0.08,6,4,0,0.6,10,0.0019747912883758545,9.0,0.064453125,0.18,8,2,0,0.8,10,0.0,0.0,1.0,0.0,0,0,10,1.0,10,0.0,0.0,1.0,0.0,0,0,10,1.0,10,-0.1297582932279729,0.0,0.00390625,-0.73,0,9,1,0.9,10,0.09469878225599049,1.0,0.00390625,0.69,9,1,0,0.9,10,0.007862675539217889,0.0,0.001953125,0.94,10,0,0,1.0
distillation,digits,clean,0.0,hellinger,kl,10,-0.0011111111111110961,20.0,0.474609375,-0.04,3,7,0,0.7,10,0.03993268013000488,8.0,0.048828125,0.16,7,3,0,0.7,10,0.0031030551978835246,12.0,0.130859375,0.22,7,3,0,0.7,10,0.0018617451190948487,19.0,0.431640625,0.1,8,2,0,0.8,10,0.0018534421920776366,18.0,0.375,0.12,6,4,0,0.6,10,0.0,0.0,1.0,0.0,0,0,10,1.0,10,0.0,0.0,1.0,0.0,0,0,10,1.0,10,-0.12093899197875171,1.0,0.00390625,-0.7,1,9,0,0.9,10,0.07968536494852284,1.0,0.0078125,0.68,8,1,1,0.8,10,0.009053785796277225,0.0,0.001953125,0.92,10,0,0,1.0
distillation,digits,clean,0.0,jensen_shannon,kl,10,-0.0005555555555555314,21.0,0.8828125,-0.08,5,4,1,0.5,10,0.03406483381986618,10.0,0.083984375,0.18,8,2,0,0.8,10,0.0032528414935977445,10.0,0.083984375,0.2,8,2,0,0.8,10,0.0016393713653087617,19.0,0.431640625,0.06,7,3,0,0.7,10,0.002061206102371216,13.0,0.16015625,0.22,7,3,0,0.7,10,0.0,0.0,1.0,0.0,0,0,10,1.0,10,0.0,0.0,1.0,0.0,0,0,10,1.0,10,-0.17230962231248273,0.0,0.001953125,-0.82,0,10,0,1.0,10,0.12378848323642375,0.0,0.00390625,0.77,9,0,1,0.9,10,0.011966990469954909,0.0,0.001953125,0.96,10,0,0,1.0
distillation,digits,clean,0.0,kl_capped,kl,10,-0.015370370370370357,1.0,0.00390625,-0.69,1,9,0,0.9,10,0.24556872099637986,0.0,0.001953125,0.84,10,0,0,1.0,10,0.01808134138032242,0.0,0.001953125,0.76,10,0,0,1.0,10,0.03190107047557831,0.0,0.001953125,0.8,10,0,0,1.0,10,-0.012921142578125,2.0,0.005859375,-0.64,1,9,0,0.9,10,0.0,0.0,1.0,0.0,0,0,10,1.0,10,0.0,0.0,1.0,0.0,0,0,10,1.0,10,-0.27079918953202703,0.0,0.001953125,-0.98,0,10,0,1.0,10,0.179908337798784,1.0,0.00390625,0.88,9,1,0,0.9,10,0.026130383904092013,0.0,0.001953125,1.0,10,0,0,1.0
distillation,digits,clean,0.0,kl_smoothed,kl,10,1.1102230246251566e-17,4.0,1.0,0.03,2,2,6,0.6,10,0.007268005609512329,12.0,0.130859375,0.04,8,2,0,0.8,10,-0.0007339639630582359,20.0,0.4921875,-0.06,4,6,0,0.6,10,0.00025381818413734437,25.0,0.845703125,0.0,6,4,0,0.6,10,1.1610984802246094e-05,27.0,1.0,0.02,5,5,0,0.5,10,0.0,0.0,1.0,0.0,0,0,10,1.0,10,0.0,0.0,1.0,0.0,0,0,10,1.0,10,-0.008966861598440545,0.0,0.5,-0.08,0,2,8,0.8,10,0.011530964162543105,0.0,0.25,0.13,3,0,7,0.7,10,0.0004619990009814501,13.0,0.16015625,0.12,7,3,0,0.7
distillation,digits,high_temperature,0.1,fisher_rao,kl,10,0.001666666666666683,12.0,0.23828125,0.11,6,3,1,0.6,10,0.018432846665382384,20.0,0.4921875,0.02,6,4,0,0.6,10,0.001639754104393485,25.0,0.845703125,0.08,4,6,0,0.6,10,-0.00012382045388221742,27.0,1.0,0.04,6,4,0,0.6,10,0.0031082212924957277,3.0,0.009765625,0.24,8,2,0,0.8,10,0.0,0.0,1.0,0.0,0,0,10,1.0,10,0.0,0.0,1.0,0.0,0,0,10,1.0,10,-0.12087638310035338,0.0,0.00390625,-0.66,0,9,1,0.9,10,0.08211934968513915,1.0,0.0078125,0.75,8,1,1,0.8,10,0.006105250515975058,0.0,0.001953125,0.82,10,0,0,1.0
distillation,digits,high_temperature,0.1,hellinger,kl,10,0.00277777777777779,3.5,0.09375,0.16,5,2,3,0.5,10,0.01578192561864853,17.0,0.322265625,0.08,7,3,0,0.7,10,0.00011904960429226299,23.0,0.6953125,0.0,6,4,0,0.6,10,-0.002338524162769318,21.0,0.556640625,-0.1,4,6,0,0.6,10,0.004065656661987304,6.0,0.02734375,0.24,8,2,0,0.8,10,0.0,0.0,1.0,0.0,0,0,10,1.0,10,0.0,0.0,1.0,0.0,0,0,10,1.0,10,-0.13746229982213962,0.0,0.00390625,-0.73,0,9,1,0.9,10,0.08772108854774759,2.0,0.005859375,0.78,9,1,0,0.9,10,0.006641819444485009,0.0,0.001953125,0.86,10,0,0,1.0
distillation,digits,high_temperature,0.1,jensen_shannon,kl,10,0.0033333333333333435,13.5,0.171875,0.2,6,4,0,0.6,10,0.02797061949968338,11.0,0.10546875,0.12,7,3,0,0.7,10,0.0008784873121314366,23.0,0.6953125,0.08,5,5,0,0.5,10,-0.001598416268825531,23.0,0.6953125,-0.06,4,6,0,0.6,10,0.004279994964599609,10.0,0.083984375,0.22,7,3,0,0.7,10,0.0,0.0,1.0,0.0,0,0,10,1.0,10,0.0,0.0,1.0,0.0,0,0,10,1.0,10,-0.17267055690110614,0.0,0.00390625,-0.81,0,9,1,0.9,10,0.1261988633370212,0.0,0.0078125,0.86,8,0,2,0.8,10,0.009874438890255988,0.0,0.001953125,0.94,10,0,0,1.0
distillation,digits,high_temperature,0.1,kl_capped,kl,10,-0.062222222222222213,0.0,0.001953125,-1.0,0,10,0,1.0,10,0.5728017255663872,0.0,0.001953125,1.0,10,0,0,1.0,10,0.0542358677309972,0.0,0.001953125,1.0,10,0,0,1.0,10,0.11545041427016259,0.0,0.001953125,1.0,10,0,0,1.0,10,-0.0625156044960022,0.0,0.001953125,-1.0,0,10,0,1.0,10,0.0,0.0,1.0,0.0,0,0,10,1.0,10,0.0,0.0,1.0,0.0,0,0,10,1.0,10,-0.1983958685846558,1.0,0.00390625,-0.86,1,9,0,0.9,10,0.07190958155203006,5.0,0.01953125,0.63,8,2,0,0.8,10,0.05008701824117452,0.0,0.001953125,1.0,10,0,0,1.0
distillation,digits,high_temperature,0.1,kl_smoothed,kl,10,-0.00018518518518518824,20.5,0.86328125,-0.02,5,4,1,0.5,10,0.00035951584577560426,24.0,0.76953125,0.02,6,4,0,0.6,10,-0.001168137579052548,15.0,0.232421875,-0.08,4,6,0,0.6,10,0.000629996508359909,18.0,0.375,0.04,7,3,0,0.7,10,0.0003098189830780029,18.0,0.375,0.04,7,3,0,0.7,10,0.0,0.0,1.0,0.0,0,0,10,1.0,10,0.0,0.0,1.0,0.0,0,0,10,1.0,10,-0.02803686566844462,0.0,0.0625,-0.14,0,5,5,0.5,10,0.007759564075353546,5.0,0.3125,0.15,4,2,4,0.4,10,0.0009812557836994529,0.0,0.001953125,0.2,10,0,0,1.0
