cond_a,seed_a,cond_b,seed_b,acc_a,acc_b,acc_diff,fr_rd,cka,weight_l2
clean,0,clean,1,0.9740740656852722,0.979629635810852,0.005555570125579834,0.07716938853263855,0.9526171684265137,20.11153221130371
clean,0,clean,2,0.9740740656852722,0.9740740656852722,0.0,0.06882821768522263,0.9602605700492859,20.08571434020996
clean,0,clean,3,0.9740740656852722,0.9777777791023254,0.0037037134170532227,0.06903883069753647,0.9537742733955383,20.195316314697266
clean,0,clean,4,0.9740740656852722,0.979629635810852,0.005555570125579834,0.07380897551774979,0.958052933216095,20.153635025024414
clean,0,noisy_30,0,0.9740740656852722,0.7462962865829468,0.22777777910232544,0.9518519639968872,0.6063935160636902,16.89393424987793
clean,0,noisy_30,1,0.9740740656852722,0.7388888597488403,0.23518520593643188,0.9981701970100403,0.5826267600059509,26.84695053100586
clean,0,noisy_30,2,0.9740740656852722,0.7277777791023254,0.24629628658294678,1.0631881952285767,0.47787144780158997,26.490135192871094
clean,0,noisy_30,3,0.9740740656852722,0.7351852059364319,0.23888885974884033,1.0196685791015625,0.581727921962738,26.54775047302246
clean,0,noisy_30,4,0.9740740656852722,0.7185184955596924,0.25555557012557983,1.0439629554748535,0.5548163652420044,26.78325653076172
clean,0,noisy_60,0,0.9740740656852722,0.42222222685813904,0.5518518388271332,1.8312512636184692,0.42668417096138,21.560640335083008
clean,0,noisy_60,1,0.9740740656852722,0.43518519401550293,0.5388888716697693,1.8117327690124512,0.4764472544193268,29.754961013793945
clean,0,noisy_60,2,0.9740740656852722,0.42407408356666565,0.5499999821186066,1.8303123712539673,0.45633816719055176,29.745086669921875
clean,0,noisy_60,3,0.9740740656852722,0.4185185134410858,0.5555555522441864,1.7886697053909302,0.5156622529029846,29.79840087890625
clean,0,noisy_60,4,0.9740740656852722,0.4407407343387604,0.5333333313465118,1.8009780645370483,0.4721740484237671,29.971052169799805
clean,0,fr_loss,0,0.9740740656852722,0.979629635810852,0.005555570125579834,0.02551637962460518,0.9978057146072388,1.9804728031158447
clean,0,fr_loss,1,0.9740740656852722,0.9777777791023254,0.0037037134170532227,0.0748329907655716,0.9522358179092407,20.316017150878906
clean,0,fr_loss,2,0.9740740656852722,0.9722222089767456,0.0018518567085266113,0.07501086592674255,0.9597260355949402,20.24171257019043
clean,0,fr_loss,3,0.9740740656852722,0.9759259223937988,0.0018518567085266113,0.06636187434196472,0.9535672068595886,20.431705474853516
clean,0,fr_loss,4,0.9740740656852722,0.979629635810852,0.005555570125579834,0.07263526320457458,0.9579389095306396,20.372732162475586
clean,0,smoothed,0,0.9740740656852722,0.9851852059364319,0.011111140251159668,0.6593266129493713,0.9263646602630615,5.756062984466553
clean,0,smoothed,1,0.9740740656852722,0.9925925731658936,0.018518507480621338,0.671753466129303,0.8978657722473145,19.501089096069336
clean,0,smoothed,2,0.9740740656852722,0.9870370626449585,0.01296299695968628,0.6695141792297363,0.9001914858818054,19.397167205810547
clean,0,smoothed,3,0.9740740656852722,0.9925925731658936,0.018518507480621338,0.6747757792472839,0.9066371917724609,19.595928192138672
clean,0,smoothed,4,0.9740740656852722,0.9851852059364319,0.011111140251159668,0.6738802790641785,0.908884584903717,19.592283248901367
clean,1,clean,2,0.979629635810852,0.9740740656852722,0.005555570125579834,0.07318760454654694,0.9579111933708191,20.32134246826172
clean,1,clean,3,0.979629635810852,0.9777777791023254,0.0018518567085266113,0.07373830676078796,0.9598705768585205,20.354707717895508
clean,1,clean,4,0.979629635810852,0.979629635810852,0.0,0.07544142752885818,0.9570696353912354,20.387502670288086
clean,1,noisy_30,0,0.979629635810852,0.7462962865829468,0.23333334922790527,0.9624025821685791,0.6090827584266663,26.4921875
clean,1,noisy_30,1,0.979629635810852,0.7388888597488403,0.24074077606201172,0.9898948669433594,0.5868939757347107,17.015090942382812
clean,1,noisy_30,2,0.979629635810852,0.7277777791023254,0.2518518567085266,1.0678603649139404,0.5002227425575256,26.7784423828125
clean,1,noisy_30,3,0.979629635810852,0.7351852059364319,0.24444442987442017,1.0176090002059937,0.627498209476471,26.785381317138672
