task,dataset,objective,noise_std_fraction,seed,step,loss
tsne,blobs,fisher_rao,0.25,202,100,0.8977579474449158
tsne,blobs,fisher_rao,0.25,202,150,0.7293828129768372
tsne,blobs,fisher_rao,0.25,202,200,0.6315100193023682
tsne,blobs,fisher_rao,0.25,202,250,0.5635181069374084
tsne,blobs,fisher_rao,0.25,202,299,0.5178245306015015
tsne,blobs,kl,0.25,303,0,1.848122239112854
tsne,blobs,kl,0.25,303,50,0.50880366563797
tsne,blobs,kl,0.25,303,100,0.3570283055305481
tsne,blobs,kl,0.25,303,150,0.29679256677627563
tsne,blobs,kl,0.25,303,200,0.26267045736312866
tsne,blobs,kl,0.25,303,250,0.24053362011909485
tsne,blobs,kl,0.25,303,299,0.22474750876426697
tsne,blobs,fisher_rao,0.25,303,0,4.946608543395996
tsne,blobs,fisher_rao,0.25,303,50,1.358617901802063
tsne,blobs,fisher_rao,0.25,303,100,0.9348575472831726
tsne,blobs,fisher_rao,0.25,303,150,0.7681447267532349
tsne,blobs,fisher_rao,0.25,303,200,0.6675607562065125
tsne,blobs,fisher_rao,0.25,303,250,0.6001731157302856
tsne,blobs,fisher_rao,0.25,303,299,0.5522229075431824
tsne,blobs,kl,0.25,404,0,1.8494963645935059
tsne,blobs,kl,0.25,404,50,0.5168470144271851
tsne,blobs,kl,0.25,404,100,0.3598272204399109
tsne,blobs,kl,0.25,404,150,0.2890032231807709
tsne,blobs,kl,0.25,404,200,0.2517584562301636
tsne,blobs,kl,0.25,404,250,0.22878433763980865
tsne,blobs,kl,0.25,404,299,0.2130519449710846
tsne,blobs,fisher_rao,0.25,404,0,4.942844390869141
tsne,blobs,fisher_rao,0.25,404,50,1.3997678756713867
tsne,blobs,fisher_rao,0.25,404,100,0.9194560050964355
tsne,blobs,fisher_rao,0.25,404,150,0.745268702507019
tsne,blobs,fisher_rao,0.25,404,200,0.6426917314529419
tsne,blobs,fisher_rao,0.25,404,250,0.5763348340988159
tsne,blobs,fisher_rao,0.25,404,299,0.5301579833030701
tsne,blobs,kl,0.25,505,0,1.8502757549285889
tsne,blobs,kl,0.25,505,50,0.508934497833252
tsne,blobs,kl,0.25,505,100,0.3553032875061035
tsne,blobs,kl,0.25,505,150,0.2906275987625122
tsne,blobs,kl,0.25,505,200,0.25541672110557556
tsne,blobs,kl,0.25,505,250,0.2337190806865692
tsne,blobs,kl,0.25,505,299,0.21884609758853912
tsne,blobs,fisher_rao,0.25,505,0,4.975155830383301
tsne,blobs,fisher_rao,0.25,505,50,1.336963415145874
tsne,blobs,fisher_rao,0.25,505,100,0.9234990477561951
tsne,blobs,fisher_rao,0.25,505,150,0.7516696453094482
tsne,blobs,fisher_rao,0.25,505,200,0.6514744162559509
tsne,blobs,fisher_rao,0.25,505,250,0.5866309404373169
tsne,blobs,fisher_rao,0.25,505,299,0.5412710905075073
tsne,blobs,kl,0.5,101,0,1.8304933309555054
tsne,blobs,kl,0.5,101,50,0.6037658452987671
tsne,blobs,kl,0.5,101,100,0.459518700838089
tsne,blobs,kl,0.5,101,150,0.4034264087677002
tsne,blobs,kl,0.5,101,200,0.37276434898376465
tsne,blobs,kl,0.5,101,250,0.3528711199760437
tsne,blobs,kl,0.5,101,299,0.33890074491500854
tsne,blobs,fisher_rao,0.5,101,0,4.523327350616455
tsne,blobs,fisher_rao,0.5,101,50,1.520884394645691
tsne,blobs,fisher_rao,0.5,101,100,1.097778558731079
tsne,blobs,fisher_rao,0.5,101,150,0.9370955228805542
tsne,blobs,fisher_rao,0.5,101,200,0.8451188802719116
tsne,blobs,fisher_rao,0.5,101,250,0.7859665751457214
tsne,blobs,fisher_rao,0.5,101,299,0.7456902861595154
tsne,blobs,kl,0.5,202,0,1.8384795188903809
tsne,blobs,kl,0.5,202,50,0.629568338394165
tsne,blobs,kl,0.5,202,100,0.4585757255554199
tsne,blobs,kl,0.5,202,150,0.3999333083629608
tsne,blobs,kl,0.5,202,200,0.36676716804504395
tsne,blobs,kl,0.5,202,250,0.34801623225212097
tsne,blobs,kl,0.5,202,299,0.3356212377548218
tsne,blobs,fisher_rao,0.5,202,0,4.574985980987549
tsne,blobs,fisher_rao,0.5,202,50,1.4156607389450073
tsne,blobs,fisher_rao,0.5,202,100,1.0390599966049194
tsne,blobs,fisher_rao,0.5,202,150,0.8990191221237183
tsne,blobs,fisher_rao,0.5,202,200,0.816490888595581
tsne,blobs,fisher_rao,0.5,202,250,0.7641282081604004
tsne,blobs,fisher_rao,0.5,202,299,0.7282396554946899
tsne,blobs,kl,0.5,303,0,1.8339571952819824
tsne,blobs,kl,0.5,303,50,0.6043423414230347
tsne,blobs,kl,0.5,303,100,0.45741260051727295
tsne,blobs,kl,0.5,303,150,0.3959907293319702
tsne,blobs,kl,0.5,303,200,0.3645554184913635
tsne,blobs,kl,0.5,303,250,0.34585070610046387
tsne,blobs,kl,0.5,303,299,0.33344894647598267
tsne,blobs,fisher_rao,0.5,303,0,4.50594425201416
tsne,blobs,fisher_rao,0.5,303,50,1.408118486404419
tsne,blobs,fisher_rao,0.5,303,100,1.0446043014526367
tsne,blobs,fisher_rao,0.5,303,150,0.8964725732803345
tsne,blobs,fisher_rao,0.5,303,200,0.8124032020568848
tsne,blobs,fisher_rao,0.5,303,250,0.7578001022338867
tsne,blobs,fisher_rao,0.5,303,299,0.7202252149581909
tsne,blobs,kl,0.5,404,0,1.8349990844726562
tsne,blobs,kl,0.5,404,50,0.6355077624320984
tsne,blobs,kl,0.5,404,100,0.47803419828414917
tsne,blobs,kl,0.5,404,150,0.4165136516094208
tsne,blobs,kl,0.5,404,200,0.3847314715385437
tsne,blobs,kl,0.5,404,250,0.36488214135169983
tsne,blobs,kl,0.5,404,299,0.3513808250427246
tsne,blobs,fisher_rao,0.5,404,0,4.4939284324646
tsne,blobs,fisher_rao,0.5,404,50,1.5103718042373657
tsne,blobs,fisher_rao,0.5,404,100,1.110227346420288
tsne,blobs,fisher_rao,0.5,404,150,0.9406414031982422
tsne,blobs,fisher_rao,0.5,404,200,0.8524671792984009
tsne,blobs,fisher_rao,0.5,404,250,0.7954996228218079
tsne,blobs,fisher_rao,0.5,404,299,0.7563047409057617
tsne,blobs,kl,0.5,505,0,1.8375823497772217
tsne,blobs,kl,0.5,505,50,0.6431217789649963
tsne,blobs,kl,0.5,505,100,0.46833717823028564
tsne,blobs,kl,0.5,505,150,0.410033643245697
tsne,blobs,kl,0.5,505,200,0.3806854486465454
tsne,blobs,kl,0.5,505,250,0.3628326952457428
tsne,blobs,kl,0.5,505,299,0.3507356345653534
tsne,blobs,fisher_rao,0.5,505,0,4.5449042320251465
tsne,blobs,fisher_rao,0.5,505,50,1.5642808675765991
tsne,blobs,fisher_rao,0.5,505,100,1.0955811738967896
tsne,blobs,fisher_rao,0.5,505,150,0.9343075156211853
tsne,blobs,fisher_rao,0.5,505,200,0.8467134237289429
tsne,blobs,fisher_rao,0.5,505,250,0.7927723526954651
tsne,blobs,fisher_rao,0.5,505,299,0.7561187148094177
tsne,blobs,kl,0.75,101,0,1.79848313331604
tsne,blobs,kl,0.75,101,50,0.8096032738685608
tsne,blobs,kl,0.75,101,100,0.6409308910369873
tsne,blobs,kl,0.75,101,150,0.583460807800293
tsne,blobs,kl,0.75,101,200,0.5515568256378174
tsne,blobs,kl,0.75,101,250,0.5343725681304932
tsne,blobs,kl,0.75,101,299,0.5234969854354858
tsne,blobs,fisher_rao,0.75,101,0,4.115449905395508
tsne,blobs,fisher_rao,0.75,101,50,1.7568551301956177
tsne,blobs,fisher_rao,0.75,101,100,1.3724339008331299
tsne,blobs,fisher_rao,0.75,101,150,1.2174644470214844
tsne,blobs,fisher_rao,0.75,101,200,1.134887456893921
tsne,blobs,fisher_rao,0.75,101,250,1.0831531286239624
tsne,blobs,fisher_rao,0.75,101,299,1.0477275848388672
tsne,blobs,kl,0.75,202,0,1.800787091255188
tsne,blobs,kl,0.75,202,50,0.7667891979217529
tsne,blobs,kl,0.75,202,100,0.6061190366744995
tsne,blobs,kl,0.75,202,150,0.5447183847427368
tsne,blobs,kl,0.75,202,200,0.5137285590171814
