experiment,dataset,corruption_type,stress_level,objective,baseline,eval_trustworthiness_n,eval_trustworthiness_mean_diff,eval_trustworthiness_wilcoxon_stat,eval_trustworthiness_wilcoxon_p,eval_trustworthiness_cliffs_delta,eval_trustworthiness_positive_seed_count,eval_trustworthiness_negative_seed_count,eval_trustworthiness_tie_seed_count,eval_trustworthiness_direction_consistency,eval_neighborhood_recall_n,eval_neighborhood_recall_mean_diff,eval_neighborhood_recall_wilcoxon_stat,eval_neighborhood_recall_wilcoxon_p,eval_neighborhood_recall_cliffs_delta,eval_neighborhood_recall_positive_seed_count,eval_neighborhood_recall_negative_seed_count,eval_neighborhood_recall_tie_seed_count,eval_neighborhood_recall_direction_consistency,eval_silhouette_n,eval_silhouette_mean_diff,eval_silhouette_wilcoxon_stat,eval_silhouette_wilcoxon_p,eval_silhouette_cliffs_delta,eval_silhouette_positive_seed_count,eval_silhouette_negative_seed_count,eval_silhouette_tie_seed_count,eval_silhouette_direction_consistency,eval_knn_accuracy_n,eval_knn_accuracy_mean_diff,eval_knn_accuracy_wilcoxon_stat,eval_knn_accuracy_wilcoxon_p,eval_knn_accuracy_cliffs_delta,eval_knn_accuracy_positive_seed_count,eval_knn_accuracy_negative_seed_count,eval_knn_accuracy_tie_seed_count,eval_knn_accuracy_direction_consistency,eval_local_label_purity_n,eval_local_label_purity_mean_diff,eval_local_label_purity_wilcoxon_stat,eval_local_label_purity_wilcoxon_p,eval_local_label_purity_cliffs_delta,eval_local_label_purity_positive_seed_count,eval_local_label_purity_negative_seed_count,eval_local_label_purity_tie_seed_count,eval_local_label_purity_direction_consistency,eval_corrupted_edge_preservation_n,eval_corrupted_edge_preservation_mean_diff,eval_corrupted_edge_preservation_wilcoxon_stat,eval_corrupted_edge_preservation_wilcoxon_p,eval_corrupted_edge_preservation_cliffs_delta,eval_corrupted_edge_preservation_positive_seed_count,eval_corrupted_edge_preservation_negative_seed_count,eval_corrupted_edge_preservation_tie_seed_count,eval_corrupted_edge_preservation_direction_consistency,eval_corrupted_edge_q_mass_n,eval_corrupted_edge_q_mass_mean_diff,eval_corrupted_edge_q_mass_wilcoxon_stat,eval_corrupted_edge_q_mass_wilcoxon_p,eval_corrupted_edge_q_mass_cliffs_delta,eval_corrupted_edge_q_mass_positive_seed_count,eval_corrupted_edge_q_mass_negative_seed_count,eval_corrupted_edge_q_mass_tie_seed_count,eval_corrupted_edge_q_mass_direction_consistency
noisy_affinity,blobs,block,0.025,kl_capped,kl,5,0.0,0.0,1.0,0.0,0,0,5,1.0,5,0.0,0.0,1.0,0.0,0,0,5,1.0,5,0.0,0.0,1.0,0.0,0,0,5,1.0,5,0.0,0.0,1.0,0.0,0,0,5,1.0,5,0.0,0.0,1.0,0.0,0,0,5,1.0,5,0.0,0.0,1.0,0.0,0,0,5,1.0,5,0.0,0.0,1.0,0.0,0,0,5,1.0
noisy_affinity,blobs,block,0.025,kl_smoothed,kl,5,-5.420054200566682e-07,2.5,1.0,-0.04,1,2,2,0.4,5,0.00010000000000001119,0.0,1.0,0.04,1,0,4,0.8,5,2.4318695068359373e-06,3.0,0.625,0.08,3,1,1,0.6,5,0.0,0.0,1.0,0.0,0,0,5,1.0,5,0.0,0.0,1.0,0.0,0,0,5,1.0,5,0.0,0.0,1.0,0.0,0,0,5,1.0,5,1.816311851143837e-07,0.0,0.0625,0.2,5,0,0,1.0
noisy_affinity,blobs,block,0.05,fisher_rao,kl,5,0.010950677506775053,0.0,0.0625,1.0,5,0,0,1.0,5,0.02809999999999998,0.0,0.0625,1.0,5,0,0,1.0,5,0.10051729679107665,0.0,0.0625,1.0,5,0,0,1.0,5,0.013333333333333374,0.0,0.125,0.8,4,0,1,0.8,5,0.03599999999999994,0.0,0.0625,1.0,5,0,0,1.0,5,-0.2,0.0,0.0625,-1.0,0,5,0,1.0,5,-0.0008607782423496246,0.0,0.0625,-0.84,0,5,0,1.0
noisy_affinity,blobs,block,0.05,fr_kl_hybrid,kl,5,0.008231978319783239,0.0,0.0625,1.0,5,0,0,1.0,5,0.020799999999999985,0.0,0.0625,0.84,5,0,0,1.0,5,0.06838158369064332,0.0,0.0625,1.0,5,0,0,1.0,5,0.010000000000000031,0.0,0.25,0.6,3,0,2,0.6,5,0.029799999999999983,0.0,0.0625,0.92,5,0,0,1.0,5,-0.14500000000000002,0.0,0.0625,-1.0,0,5,0,1.0,5,-0.0005739371757954359,0.0,0.0625,-0.68,0,5,0,1.0
noisy_affinity,blobs,block,0.05,hellinger,kl,5,0.011387533875338729,0.0,0.0625,1.0,5,0,0,1.0,5,0.031099999999999996,0.0,0.0625,1.0,5,0,0,1.0,5,0.10089927911758423,0.0,0.0625,1.0,5,0,0,1.0,5,0.013333333333333374,0.0,0.125,0.8,4,0,1,0.8,5,0.03599999999999994,0.0,0.0625,1.0,5,0,0,1.0,5,-0.2,0.0,0.0625,-1.0,0,5,0,1.0,5,-0.0009662651456892491,0.0,0.0625,-0.84,0,5,0,1.0
noisy_affinity,blobs,block,0.05,jensen_shannon,kl,5,0.012497560975609745,0.0,0.0625,1.0,5,0,0,1.0,5,0.03909999999999997,0.0,0.0625,1.0,5,0,0,1.0,5,0.11772968769073486,0.0,0.0625,1.0,5,0,0,1.0,5,0.013333333333333374,0.0,0.125,0.8,4,0,1,0.8,5,0.036599999999999966,0.0,0.0625,1.0,5,0,0,1.0,5,-0.20500000000000002,0.0,0.0625,-1.0,0,5,0,1.0,5,-0.001229815767146647,0.0,0.0625,-1.0,0,5,0,1.0
noisy_affinity,blobs,block,0.05,kl_capped,kl,5,0.0,0.0,1.0,0.0,0,0,5,1.0,5,0.0,0.0,1.0,0.0,0,0,5,1.0,5,0.0,0.0,1.0,0.0,0,0,5,1.0,5,0.0,0.0,1.0,0.0,0,0,5,1.0,5,0.0,0.0,1.0,0.0,0,0,5,1.0,5,0.0,0.0,1.0,0.0,0,0,5,1.0,5,0.0,0.0,1.0,0.0,0,0,5,1.0
noisy_affinity,blobs,block,0.05,kl_smoothed,kl,5,1.0840108401088955e-05,2.0,0.75,0.12,2,1,2,0.4,5,-0.00010000000000000009,2.0,0.75,-0.04,1,2,2,0.4,5,-3.277063369750976e-05,1.0,0.125,-0.12,1,4,0,0.8,5,0.0,0.0,1.0,0.0,0,0,5,1.0,5,0.0,0.0,1.0,0.0,0,0,5,1.0,5,0.0,0.0,1.0,0.0,0,0,5,1.0,5,4.3055042624473573e-07,0.0,0.0625,0.2,5,0,0,1.0
noisy_affinity,blobs,block,0.1,fisher_rao,kl,5,0.036959349593495935,0.0,0.0625,1.0,5,0,0,1.0,5,0.04999999999999997,0.0,0.0625,1.0,5,0,0,1.0,5,0.19866515398025514,0.0,0.0625,1.0,5,0,0,1.0,5,0.0833333333333333,0.0,0.0625,0.96,5,0,0,1.0,5,0.10850000000000001,0.0,0.0625,1.0,5,0,0,1.0,5,-0.46749999999999997,0.0,0.0625,-1.0,0,5,0,1.0,5,-0.0023294189013540745,0.0,0.0625,-1.0,0,5,0,1.0
noisy_affinity,blobs,block,0.1,fr_kl_hybrid,kl,5,0.025249864498645015,0.0,0.0625,1.0,5,0,0,1.0,5,0.03129999999999994,0.0,0.0625,0.92,5,0,0,1.0,5,0.12201911211013794,0.0,0.0625,1.0,5,0,0,1.0,5,0.06333333333333331,0.0,0.0625,0.8,5,0,0,1.0,5,0.07110000000000001,0.0,0.0625,0.92,5,0,0,1.0,5,-0.39249999999999996,0.0,0.0625,-1.0,0,5,0,1.0,5,-0.0014140903949737549,0.0,0.0625,-0.92,0,5,0,1.0
noisy_affinity,blobs,block,0.1,hellinger,kl,5,0.03693821138211384,0.0,0.0625,1.0,5,0,0,1.0,5,0.05009999999999998,0.0,0.0625,1.0,5,0,0,1.0,5,0.19866530895233153,0.0,0.0625,1.0,5,0,0,1.0,5,0.0833333333333333,0.0,0.0625,0.96,5,0,0,1.0,5,0.10850000000000001,0.0,0.0625,1.0,5,0,0,1.0,5,-0.46749999999999997,0.0,0.0625,-1.0,0,5,0,1.0,5,-0.0023294285871088504,0.0,0.0625,-1.0,0,5,0,1.0
noisy_affinity,blobs,block,0.1,jensen_shannon,kl,5,0.04044010840108403,0.0,0.0625,1.0,5,0,0,1.0,5,0.061299999999999966,0.0,0.0625,1.0,5,0,0,1.0,5,0.23218164443969727,0.0,0.0625,1.0,5,0,0,1.0,5,0.09333333333333331,0.0,0.0625,1.0,5,0,0,1.0,5,0.11920000000000004,0.0,0.0625,1.0,5,0,0,1.0,5,-0.505,0.0,0.0625,-1.0,0,5,0,1.0,5,-0.0028989526443183424,0.0,0.0625,-1.0,0,5,0,1.0
noisy_affinity,blobs,block,0.1,kl_capped,kl,5,0.0,0.0,1.0,0.0,0,0,5,1.0,5,0.0,0.0,1.0,0.0,0,0,5,1.0,5,0.0,0.0,1.0,0.0,0,0,5,1.0,5,0.0,0.0,1.0,0.0,0,0,5,1.0,5,0.0,0.0,1.0,0.0,0,0,5,1.0,5,0.0,0.0,1.0,0.0,0,0,5,1.0,5,0.0,0.0,1.0,0.0,0,0,5,1.0
noisy_affinity,blobs,block,0.1,kl_smoothed,kl,5,-4.769647696472035e-05,3.0,0.625,0.0,2,2,1,0.4,5,9.999999999996679e-05,3.0,1.0,0.04,2,1,2,0.4,5,-9.908676147460938e-05,0.0,0.0625,-0.2,0,5,0,1.0,5,0.0,0.0,1.0,0.0,0,0,5,1.0,5,-0.00019999999999997797,0.0,0.5,-0.08,0,2,3,0.6,5,0.0,0.0,1.0,0.0,0,0,5,1.0,5,1.7531216144561768e-06,0.0,0.0625,0.2,5,0,0,1.0
noisy_affinity,blobs,block,0.15,fisher_rao,kl,5,0.052301355013550134,0.0,0.0625,1.0,5,0,0,1.0,5,0.05820000000000001,0.0,0.0625,1.0,5,0,0,1.0,5,0.21882014870643615,0.0,0.0625,1.0,5,0,0,1.0,5,0.16666666666666666,0.0,0.0625,1.0,5,0,0,1.0,5,0.13850000000000012,0.0,0.0625,1.0,5,0,0,1.0,5,-0.4866666666666667,0.0,0.0625,-1.0,0,5,0,1.0,5,-0.0037945836782455446,0.0,0.0625,-1.0,0,5,0,1.0
noisy_affinity,blobs,block,0.15,fr_kl_hybrid,kl,5,0.03179295392953929,0.0,0.0625,1.0,5,0,0,1.0,5,0.0338,0.0,0.0625,1.0,5,0,0,1.0,5,0.12185779213905334,0.0,0.0625,1.0,5,0,0,1.0,5,0.10333333333333332,0.0,0.0625,0.92,5,0,0,1.0,5,0.0820000000000001,0.0,0.0625,1.0,5,0,0,1.0,5,-0.2866666666666667,0.0,0.0625,-1.0,0,5,0,1.0,5,-0.002380341105163097,0.0,0.0625,-1.0,0,5,0,1.0
noisy_affinity,blobs,block,0.15,hellinger,kl,5,0.05232140921409214,0.0,0.0625,1.0,5,0,0,1.0,5,0.05820000000000001,0.0,0.0625,1.0,5,0,0,1.0,5,0.2188214600086212,0.0,0.0625,1.0,5,0,0,1.0,5,0.16666666666666666,0.0,0.0625,1.0,5,0,0,1.0,5,0.13850000000000012,0.0,0.0625,1.0,5,0,0,1.0,5,-0.4866666666666667,0.0,0.0625,-1.0,0,5,0,1.0,5,-0.0037945875898003577,0.0,0.0625,-1.0,0,5,0,1.0
