task,objective,noise_std_fraction,eval_trustworthiness,eval_neighborhood_recall,eval_silhouette,eval_knn_accuracy
tsne,kl,0.0,0.9834939759036144,0.5878571428571429,0.9245680570602417,1.0
tsne,fisher_rao,0.0,0.9782329317269076,0.5385714285714286,0.9745706915855408,1.0
tsne,kl,0.5,0.9224899598393574,0.39785714285714285,0.5324442386627197,0.9285714285714286
tsne,fisher_rao,0.5,0.9303212851405622,0.40214285714285725,0.6148926615715027,0.9523809523809523
tsne,kl,1.0,0.7095811818703386,0.20214285714285712,-0.0024363764096051455,0.6666666666666666
tsne,fisher_rao,1.0,0.767934595524957,0.25642857142857145,0.04314350336790085,0.6428571428571429
