task,dataset,regularizer,beta,seed,eval_loss,eval_reconstruction,eval_regularization,eval_bce_per_pixel,eval_mse,eval_mean_norm,eval_variance_mean,eval_posterior_entropy_proxy,eval_active_units,eval_latent_knn_accuracy,eval_latent_linear_accuracy,eval_latent_silhouette,eval_aggregated_posterior_mmd,eval_sample_pixel_variance,eval_sample_test_mmd,eval_sample_test_nn_distance,eval_reconstruction_train_nn_distance,eval_noise_0.25_dropout_0_bce_per_pixel,eval_noise_0.25_dropout_0_mse,eval_noise_0.5_dropout_0_bce_per_pixel,eval_noise_0.5_dropout_0_mse,eval_noise_0_dropout_0.25_bce_per_pixel,eval_noise_0_dropout_0.25_mse,eval_noise_0_dropout_0.5_bce_per_pixel,eval_noise_0_dropout_0.5_mse,eval_stable,eval_completed_epochs,eval_max_grad_norm
vae,mnist,kl,1.0,101,499.0858154296875,498.6414794921875,0.4443292021751404,0.6360222697257996,0.20314420759677887,0.851296067237854,0.882917046546936,-0.12835600972175598,4.0,0.34375,0.234375,-0.11240892112255096,0.4448496622060546,0.0022519787307828665,0.7952075461336049,12.406807132065296,12.298789523541927,0.6356157660484314,0.20295175909996033,0.6320670247077942,0.20121924579143524,0.6365681290626526,0.20340374112129211,0.636907160282135,0.2035655975341797,1.0,1,62.61885070800781
vae,mnist,fisher_rao,0.3,101,498.7646484375,498.47076416015625,0.9796585440635681,0.6358045339584351,0.20304018259048462,0.8744365572929382,0.884647011756897,-0.12663334608078003,4.0,0.3203125,0.2421875,-0.12683776021003723,0.4450536043127503,0.002245191019028425,0.7952999793422414,12.405033074319363,12.284379996359348,0.6353042125701904,0.20280253887176514,0.63169926404953,0.20104461908340454,0.636437714099884,0.2033414989709854,0.636760413646698,0.20349524915218353,1.0,1,62.5443115234375
vae,mnist,fisher_rao,1.0,101,499.2984313964844,498.494140625,0.8042871952056885,0.6358343362808228,0.20305384695529938,0.7907317876815796,0.8953024744987488,-0.1136719286441803,4.0,0.296875,0.21875,-0.11665017902851105,0.44653459247265803,0.002250676043331623,0.7953154633982176,12.40501656383276,12.288257516920567,0.6353833079338074,0.2028418332338333,0.6318434476852417,0.20111297070980072,0.636390209197998,0.2033190131187439,0.6367829442024231,0.2035066932439804,1.0,1,62.1664924621582
vae,mnist,kl,0.1,101,236.8128547668457,232.8162956237793,39.965596199035645,0.2969595491886139,0.07300671376287937,8.353060960769653,2.1817482709884644,0.6973815411329269,7.0,0.3984375,0.529296875,-0.15425384044647217,1.0375598669052124,0.003306789556518197,0.45921754837036133,8.204698238521814,5.984945012256503,0.30016934126615524,0.07318796217441559,0.30996764451265335,0.07416647113859653,0.29513198137283325,0.07319643534719944,0.30800482630729675,0.0757135208696127,1.0,2,153.99594116210938
vae,mnist,kl,0.3,101,240.7229995727539,230.33282089233398,34.63393211364746,0.29379186034202576,0.0728383082896471,7.788749098777771,2.0696150064468384,0.6488595306873322,7.0,0.37109375,0.4921875,-0.15746793150901794,1.0179375410079956,0.0033058563712984324,0.45862042903900146,8.209510708227754,6.019467077217996,0.2948073670268059,0.07281440310180187,0.3016975298523903,0.07347609475255013,0.29450514912605286,0.07328183576464653,0.30982738733291626,0.07619629241526127,1.0,2,155.79037475585938
vae,mnist,kl,3.0,101,260.0906219482422,237.1049919128418,7.66187584400177,0.30242982506752014,0.07356524281203747,3.611722230911255,1.6030878722667694,0.43965310603380203,8.0,0.4375,0.521484375,-0.14755822718143463,0.6677109003067017,0.003408250864595175,0.4360074996948242,7.838697489351034,6.137521358206868,0.2927834913134575,0.0719764232635498,0.28826091438531876,0.07133453153073788,0.3168504238128662,0.07637489400804043,0.3393232598900795,0.08180010132491589,1.0,2,161.07168579101562
vae,mnist,fisher_rao,0.03,101,234.0414161682129,232.6625099182129,45.96354961395264,0.2967634052038193,0.07324898988008499,9.005177736282349,2.2735318541526794,0.7328400611877441,8.0,0.3984375,0.525390625,-0.15706713497638702,1.0791938304901123,0.0032983270939439535,0.4609946012496948,8.254672396928072,6.109847947023809,0.3013729974627495,0.07368914969265461,0.3110111951828003,0.07462175562977791,0.2933599352836609,0.07329428568482399,0.30412817746400833,0.07538734935224056,1.0,2,160.58294677734375
vae,mnist,fisher_rao,0.1,101,237.32411193847656,232.98977279663086,43.34338569641113,0.29718082398176193,0.0733211301267147,8.788397550582886,2.5770732164382935,0.843688428401947,8.0,0.37890625,0.505859375,-0.15361662209033966,1.0770859718322754,0.0033088631462305784,0.4625864624977112,8.248302338644862,6.017513160593808,0.3011616915464401,0.07346904836595058,0.31107135862112045,0.07442844100296497,0.2933686003088951,0.07323337532579899,0.30405911058187485,0.0753430537879467,1.0,2,155.51161193847656
vae,mnist,kl,0.1,202,232.78101348876953,228.5791130065918,42.01901149749756,0.2915549874305725,0.0725291483104229,8.693177461624146,1.9259998500347137,0.6061486005783081,8.0,0.390625,0.560546875,-0.1621948778629303,1.154221773147583,0.003121024463325739,0.4899868965148926,8.413910368457437,6.004351953975856,0.2929542735219002,0.07257580198347569,0.30124274641275406,0.07338197715580463,0.28938718140125275,0.07251898013055325,0.3071579039096832,0.07566729560494423,1.0,2,155.20718383789062
vae,mnist,kl,0.3,202,238.50519561767578,227.92205810546875,35.27712059020996,0.29071690887212753,0.07250917330384254,7.959457159042358,1.8537402153015137,0.5674534291028976,8.0,0.40234375,0.498046875,-0.15730249881744385,1.1134999990463257,0.0031299791298806667,0.4870404005050659,8.382265260443091,6.050363733433187,0.2904285117983818,0.07237397879362106,0.2977679967880249,0.07312221452593803,0.290669284760952,0.07269415259361267,0.3110942989587784,0.07638222724199295,1.0,2,157.0294952392578
vae,mnist,kl,1.0,202,249.9124412536621,229.02106857299805,20.891372203826904,0.29211870580911636,0.07234597578644753,6.109834790229797,1.6920866966247559,0.4864351823925972,8.0,0.45703125,0.56640625,-0.15712393820285797,0.9902465343475342,0.0031768102198839188,0.4801476001739502,8.280151102691889,5.978719848208129,0.28678276389837265,0.07168611697852612,0.2890578508377075,0.07196787931025028,0.2969985231757164,0.073122538626194,0.3230607286095619,0.07840241305530071,1.0,2,174.44091796875
vae,mnist,kl,3.0,202,259.52684783935547,241.91928482055664,5.8691864013671875,0.3085705041885376,0.07468990236520767,3.1756089329719543,1.5323996543884277,0.4057518392801285,8.0,0.501953125,0.4765625,-0.14790812134742737,0.6850830912590027,0.0031640909146517515,0.4623134136199951,7.976994510740042,6.161951908841729,0.29574961215257645,0.07209352403879166,0.2907825782895088,0.07148187793791294,0.31932950019836426,0.0767070297151804,0.34559131413698196,0.0832612942904234,1.0,2,173.04457092285156
vae,mnist,fisher_rao,0.03,202,232.5053596496582,231.06525039672852,48.00366973876953,0.29472607374191284,0.07286548614501953,9.525418519973755,2.2006560564041138,0.7274205237627029,8.0,0.408203125,0.53515625,-0.16451531648635864,1.1891751289367676,0.003113500075414777,0.48738670349121094,8.411657007411122,6.008854973129928,0.2990855276584625,0.07315110042691231,0.3096216768026352,0.07396485842764378,0.28922365605831146,0.0725321639329195,0.30276714265346527,0.07499915361404419,1.0,2,158.02467346191406
vae,mnist,fisher_rao,0.1,202,233.5971908569336,229.19182968139648,44.05361080169678,0.29233650863170624,0.07248023897409439,9.102342367172241,2.1350808143615723,0.719359889626503,8.0,0.41015625,0.55859375,-0.16363975405693054,1.1747227907180786,0.0031151296570897102,0.48846685886383057,8.388088477775455,6.025438191369176,0.29523279517889023,0.07268264517188072,0.304353266954422,0.07352796196937561,0.28893232345581055,0.07253707386553288,0.30425306409597397,0.07520655915141106,1.0,2,151.0340118408203
vae,mnist,fisher_rao,0.3,202,239.10317611694336,228.82345581054688,34.26572608947754,0.29186665266752243,0.07278155721724033,8.032400965690613,2.4693350791931152,0.86527419090271,8.0,0.439453125,0.576171875,-0.16648508608341217,1.1222126483917236,0.0031495054718106985,0.4843364953994751,8.382999204099178,6.0661777555942535,0.29210034757852554,0.0727426391094923,0.29989757388830185,0.0735862459987402,0.29078707844018936,0.07301166653633118,0.3090547174215317,0.07618457265198231,1.0,2,143.1278839111328
vae,mnist,fisher_rao,1.0,202,249.93162536621094,229.66640853881836,20.26521587371826,0.2929418385028839,0.07282490655779839,5.9041242599487305,2.823666036128998,0.9767074286937714,8.0,0.462890625,0.5703125,-0.1652795970439911,0.9822393655776978,0.0031039349269121885,0.47507864236831665,8.257851496338844,6.005367608740926,0.28728027641773224,0.07184474542737007,0.2908059135079384,0.07227913849055767,0.29554110020399094,0.07324876450002193,0.31950629502534866,0.07804259285330772,1.0,2,122.58403015136719
vae,mnist,kl,0.1,303,239.72189331054688,235.43743896484375,42.8445520401001,0.3003028556704521,0.07409561611711979,8.307055234909058,3.536582350730896,1.174223780632019,8.0,0.421875,0.474609375,-0.13929902017116547,1.0574572086334229,0.003022504039108753,0.4511089324951172,8.043318616226315,6.045289393514395,0.3031245917081833,0.07424081303179264,0.31197068840265274,0.07527094334363937,0.29587412625551224,0.07373083755373955,0.30957966297864914,0.07624964229762554,1.0,2,131.74603271484375
vae,mnist,kl,0.3,303,245.37186431884766,234.21590042114258,37.18653869628906,0.2987447679042816,0.07409173250198364,7.682259917259216,3.466255307197571,1.1513717472553253,8.0,0.39453125,0.54296875,-0.1398705542087555,1.0278258323669434,0.00304177007637918,0.4515882730484009,8.021587044000626,6.007821192033589,0.3005000054836273,0.07430767826735973,0.3076223134994507,0.07541288435459137,0.2962016090750694,0.07387880608439445,0.3120242804288864,0.07678915001451969,1.0,2,159.3118438720703
vae,mnist,kl,1.0,303,257.03609466552734,234.77662658691406,22.25947141647339,0.2994599789381027,0.073868777602911,5.8400338888168335,3.001198470592499,1.0336514711380005,7.0,0.42578125,0.498046875,-0.1397111415863037,0.9032939672470093,0.0030000037513673306,0.4444440007209778,7.884044028818607,5.989327961578965,0.29609277099370956,0.07322806119918823,0.2985789254307747,0.07387598231434822,0.3022887483239174,0.07436059042811394,0.3221972733736038,0.07825489155948162,1.0,2,203.62066650390625
vae,mnist,kl,3.0,303,261.3082809448242,243.48900604248047,5.939754486083984,0.31057270616292953,0.07536156848073006,2.751294195652008,2.244736611843109,0.77408467233181,5.0,0.462890625,0.44921875,-0.10962992906570435,0.5603326559066772,0.0029594122897833586,0.433077871799469,7.658205911517143,6.172178870998323,0.30341736972332,0.07395986095070839,0.2974468246102333,0.07300575077533722,0.3209269270300865,0.07731787487864494,0.3443140760064125,0.08293906040489674,1.0,2,131.32015991210938
vae,mnist,fisher_rao,0.03,303,237.7859115600586,236.62764739990234,38.608901023864746,0.3018209710717201,0.07435145974159241,8.811156749725342,3.791355848312378,1.2481673061847687,8.0,0.376953125,0.5,-0.13943250477313995,1.087345004081726,0.0030341865494847298,0.4512660503387451,8.064974416047335,6.030091032385826,0.3061639666557312,0.07462004572153091,0.31565339118242264,0.0754814762622118,0.2956210821866989,0.07378269359469414,0.30804886668920517,0.07618120685219765,1.0,2,164.7142791748047
vae,mnist,fisher_rao,0.1,303,239.86444091796875,236.13063430786133,37.33806800842285,0.30118702352046967,0.07429368421435356,8.58407473564148,3.751131057739258,1.2298218607902527,8.0,0.392578125,0.505859375,-0.14231878519058228,1.0758302211761475,0.0030119121074676514,0.45315855741500854,8.064825175330043,6.004331038333476,0.30378957837820053,0.07442807592451572,0.3125123679637909,0.07541712000966072,0.29536672681570053,0.07375066541135311,0.308064304292202,0.07614082470536232,1.0,2,136.8626251220703
vae,mnist,fisher_rao,0.3,303,243.9382781982422,234.68617630004883,30.840338230133057,0.29934460669755936,0.0739770270884037,7.534191966056824,3.9990592002868652,1.3062900304794312,8.0,0.419921875,0.505859375,-0.13234543800354004,1.0212175846099854,0.0029963410925120115,0.4507390260696411,8.007970878854394,5.991765912622213,0.30074432492256165,0.07394702360033989,0.30732662975788116,0.07474922016263008,0.2969549223780632,0.07383036054670811,0.31248126924037933,0.0767548456788063,1.0,2,127.19657897949219
vae,mnist,fisher_rao,1.0,303,256.3986625671387,235.80166244506836,20.597002506256104,0.3007674217224121,0.07409973256289959,5.665548801422119,4.065377116203308,1.3303458988666534,8.0,0.431640625,0.474609375,-0.12604111433029175,0.8801290392875671,0.0029690293595194817,0.4431605339050293,7.870988568291068,5.976453845389187,0.29983485490083694,0.07373806461691856,0.30344606190919876,0.07433679513633251,0.3015166148543358,0.0743100717663765,0.3195784315466881,0.07789284735918045,1.0,2,132.65414428710938
