task,regularizer,beta,eval_loss,eval_reconstruction,eval_regularization,eval_bce_per_pixel,eval_mean_norm,eval_variance_mean,eval_active_units,eval_latent_knn_accuracy,eval_noisy_bce_per_pixel,eval_noisy_mse,eval_stable
vae,kl,1.0,245.7501449584961,227.74529266357422,18.004855155944824,0.2904914394021034,5.589436173439026,1.7532131671905518,7.0,0.439453125,0.2863567844033241,0.07111460901796818,1.0
vae,fisher_rao,1.0,247.61867904663086,229.7336769104004,17.885004997253418,0.2930276468396187,5.591527938842773,2.6579872369766235,8.0,0.455078125,0.29075750708580017,0.07165300659835339,1.0
vae,fisher_rao,0.3,237.3606185913086,228.76051330566406,28.667006015777588,0.29178636521101,7.122217416763306,2.4461496472358704,8.0,0.478515625,0.29375481605529785,0.07228907197713852,1.0
