noise_regime,objective,seed,eval_accuracy,eval_ece,eval_brier,eval_nll
clean,kl,0,0.834,0.04705093288421628,0.23658831417560577,0.4948621690273285
clean,gce,0,0.809,0.11168969532847405,0.2993423342704773,0.7818320393562317
clean,mae,0,0.772,0.16882257625460628,0.38123372197151184,1.3161648511886597
clean,sce,0,0.764,0.17822698029875753,0.40580883622169495,1.5144935846328735
clean,hellinger,0,0.822,0.0817773955017328,0.26754701137542725,0.6103617548942566
clean,fisher_rao,0,0.8395,0.07962069697678092,0.24850888550281525,0.6092095375061035
sym_20,kl,0,0.779,0.0991827383041382,0.3185223340988159,0.7105504870414734
sym_20,gce,0,0.7905,0.11530679507553579,0.32692667841911316,0.8204026818275452
sym_20,mae,0,0.6995,0.2401485224217177,0.5201765894889832,2.103201389312744
sym_20,sce,0,0.744,0.18681546391546722,0.43445056676864624,1.470301628112793
sym_20,hellinger,0,0.7885,0.07711840571463105,0.3032677471637726,0.6543434262275696
sym_20,fisher_rao,0,0.811,0.06446659280359743,0.2753527760505676,0.6195388436317444
sym_40,kl,0,0.7265,0.23775847094506022,0.4562724828720093,1.0526381731033325
sym_40,gce,0,0.75,0.11917074306309224,0.37584784626960754,0.8945645689964294
sym_40,mae,0,0.6535,0.2709227087050676,0.5997929573059082,2.3084380626678467
sym_40,sce,0,0.689,0.20686160510778429,0.4988466203212738,1.4785099029541016
sym_40,hellinger,0,0.763,0.023807008385658242,0.3331955671310425,0.7186716198921204
sym_40,fisher_rao,0,0.743,0.02951240772008895,0.35536810755729675,0.7961780428886414
sym_60,kl,0,0.577,0.2886969193592667,0.674107551574707,1.5620543956756592
sym_60,gce,0,0.6645,0.08874793089181182,0.4744207262992859,1.0380676984786987
sym_60,mae,0,0.5545,0.34116274769604205,0.7562846541404724,2.736198663711548
sym_60,sce,0,0.5875,0.22558433600515126,0.6215705275535583,1.6037088632583618
sym_60,hellinger,0,0.6495,0.09253549568355082,0.48967546224594116,1.09981369972229
sym_60,fisher_rao,0,0.5965,0.10836930407583714,0.5429133176803589,1.2482500076293945
asym_40,kl,0,0.6245,0.09029202990978956,0.5346906781196594,1.0464633703231812
asym_40,gce,0,0.624,0.09669002234935763,0.5337125062942505,1.2036948204040527
asym_40,mae,0,0.4835,0.43495649525523183,0.9246566295623779,4.383065700531006
asym_40,sce,0,0.604,0.24274912226945158,0.6280628442764282,1.89601731300354
asym_40,hellinger,0,0.63,0.03640481466054916,0.5184597373008728,1.0833618640899658
asym_40,fisher_rao,0,0.598,0.04348598331212999,0.5434408187866211,1.150404691696167
clean,kl,1,0.8455,0.039933556661009756,0.22646395862102509,0.48530828952789307
clean,gce,1,0.819,0.10634868882596493,0.29109618067741394,0.7782208323478699
clean,mae,1,0.7,0.244241808667779,0.5331538319587708,2.176880359649658
clean,sce,1,0.7855,0.15860795632004737,0.3672797381877899,1.4188239574432373
clean,hellinger,1,0.8235,0.08241118666529654,0.2661845088005066,0.6153640151023865
clean,fisher_rao,1,0.8415,0.08153352968394756,0.2492091953754425,0.6376514434814453
sym_20,kl,1,0.786,0.09624775356054305,0.314470112323761,0.7012919783592224
sym_20,gce,1,0.79,0.1127249990850687,0.32445892691612244,0.7989670634269714
sym_20,mae,1,0.6985,0.22173825803399083,0.501483678817749,1.9167603254318237
sym_20,sce,1,0.743,0.18378110344707968,0.43080198764801025,1.4691264629364014
sym_20,hellinger,1,0.802,0.07053625099360947,0.2927987575531006,0.6412463188171387
sym_20,fisher_rao,1,0.8045,0.07362359449267387,0.2904684543609619,0.6431434154510498
sym_40,kl,1,0.72,0.22278004430234435,0.45398181676864624,1.0524611473083496
