experiment,dataset,corruption_type,stress_level,seed,objective,final_loss,eval_trustworthiness,eval_neighborhood_recall,eval_silhouette,eval_knn_accuracy,eval_local_label_purity,eval_corrupted_edge_preservation,eval_corrupted_edge_q_mass
noisy_affinity,blobs,uniform,0.0,101,kl,0.00400098692625761,0.9569689513766843,0.32699999999999996,0.8281775712966919,1.0,1.0,0.0,0.0
noisy_affinity,blobs,uniform,0.0,101,fisher_rao,0.0079463766887784,0.9572337434094903,0.3313333333333333,0.8285272717475891,1.0,1.0,0.0,0.0
noisy_affinity,blobs,uniform,0.0,202,kl,0.0040009827353060246,0.9569689513766843,0.32699999999999996,0.8281775712966919,1.0,1.0,0.0,0.0
noisy_affinity,blobs,uniform,0.0,202,fisher_rao,0.0079463766887784,0.9572337434094903,0.3313333333333333,0.8285277485847473,1.0,1.0,0.0,0.0
noisy_affinity,blobs,uniform,0.0,303,kl,0.004000983666628599,0.9569689513766843,0.32699999999999996,0.8281775712966919,1.0,1.0,0.0,0.0
noisy_affinity,blobs,uniform,0.0,303,fisher_rao,0.0079463766887784,0.9572337434094903,0.3313333333333333,0.8285277485847473,1.0,1.0,0.0,0.0
noisy_affinity,blobs,uniform,0.0,404,kl,0.004001066088676453,0.9569689513766843,0.32699999999999996,0.8281776309013367,1.0,1.0,0.0,0.0
noisy_affinity,blobs,uniform,0.0,404,fisher_rao,0.0079463766887784,0.9572337434094903,0.3313333333333333,0.8285277485847473,1.0,1.0,0.0,0.0
noisy_affinity,blobs,uniform,0.0,505,kl,0.015024371445178986,0.9559472759226714,0.321,0.8268399238586426,1.0,1.0,0.0,0.0
noisy_affinity,blobs,uniform,0.0,505,fisher_rao,0.02946563810110092,0.9556543643819566,0.32166666666666666,0.8281957507133484,1.0,1.0,0.0,0.0
noisy_affinity,blobs,uniform,0.0,606,kl,0.004000984597951174,0.9569689513766843,0.32699999999999996,0.8281775712966919,1.0,1.0,0.0,0.0
noisy_affinity,blobs,uniform,0.0,606,fisher_rao,0.0079463766887784,0.9572337434094903,0.3313333333333333,0.8285277485847473,1.0,1.0,0.0,0.0
noisy_affinity,blobs,uniform,0.0,707,kl,0.015024361200630665,0.9559472759226714,0.321,0.8268399834632874,1.0,1.0,0.0,0.0
noisy_affinity,blobs,uniform,0.0,707,fisher_rao,0.02946563810110092,0.9556543643819566,0.32166666666666666,0.8281957507133484,1.0,1.0,0.0,0.0
noisy_affinity,blobs,uniform,0.0,808,kl,0.004001067019999027,0.9569689513766843,0.32699999999999996,0.8281776309013367,1.0,1.0,0.0,0.0
noisy_affinity,blobs,uniform,0.0,808,fisher_rao,0.0079463766887784,0.9572337434094903,0.3313333333333333,0.8285277485847473,1.0,1.0,0.0,0.0
noisy_affinity,blobs,uniform,0.0,909,kl,0.004001073073595762,0.9569689513766843,0.32699999999999996,0.8281776309013367,1.0,1.0,0.0,0.0
noisy_affinity,blobs,uniform,0.0,909,fisher_rao,0.0079463766887784,0.9572337434094903,0.3313333333333333,0.8285277485847473,1.0,1.0,0.0,0.0
noisy_affinity,blobs,uniform,0.0,1001,kl,0.004000983666628599,0.9569689513766843,0.32699999999999996,0.8281775712966919,1.0,1.0,0.0,0.0
noisy_affinity,blobs,uniform,0.0,1001,fisher_rao,0.0079463766887784,0.9572337434094903,0.3313333333333333,0.8285277485847473,1.0,1.0,0.0,0.0
noisy_affinity,blobs,uniform,0.025,101,kl,0.0672895684838295,0.9510861159929701,0.293,0.7413111329078674,1.0,0.9983333333333333,0.03333333333333333,0.0009925247868523002
noisy_affinity,blobs,uniform,0.025,101,fisher_rao,0.07948677986860275,0.9539718804920914,0.30666666666666664,0.8128275275230408,1.0,1.0,0.0,0.0007006259402260184
noisy_affinity,blobs,uniform,0.025,202,kl,0.06971100717782974,0.948713532513181,0.28300000000000003,0.7472266554832458,1.0,0.9970000000000001,0.0,0.0009229303104802966
noisy_affinity,blobs,uniform,0.025,202,fisher_rao,0.08073212951421738,0.9530814294083187,0.29966666666666664,0.8174512982368469,1.0,1.0,0.0,0.0006344704888761044
noisy_affinity,blobs,uniform,0.025,303,kl,0.07090140879154205,0.9509256004686585,0.283,0.7546842098236084,1.0,0.9993333333333334,0.0,0.000893320539034903
