condition,seed,step,fr_rd_to_final,final_test_acc
clean,0,10,2.0089988708496094,0.8939999938011169
clean,0,20,1.207055687904358,0.8939999938011169
clean,0,30,0.7196679711341858,0.8939999938011169
clean,0,40,0.48444947600364685,0.8939999938011169
clean,0,50,0.37146541476249695,0.8939999938011169
clean,0,60,0.3034977912902832,0.8939999938011169
clean,0,70,0.2456226348876953,0.8939999938011169
clean,0,80,0.1962321400642395,0.8939999938011169
clean,0,90,0.15745404362678528,0.8939999938011169
clean,0,100,0.12671034038066864,0.8939999938011169
clean,0,110,0.10228735208511353,0.8939999938011169
clean,0,120,0.08334238082170486,0.8939999938011169
clean,0,130,0.06863671541213989,0.8939999938011169
clean,0,140,0.057207703590393066,0.8939999938011169
clean,0,150,0.04815327376127243,0.8939999938011169
clean,0,160,0.040845368057489395,0.8939999938011169
clean,0,170,0.03479592874646187,0.8939999938011169
clean,0,180,0.029706232249736786,0.8939999938011169
clean,0,190,0.025345154106616974,0.8939999938011169
clean,0,200,0.021564926952123642,0.8939999938011169
clean,0,210,0.01825088821351528,0.8939999938011169
clean,0,220,0.015308314003050327,0.8939999938011169
clean,0,230,0.012676207348704338,0.8939999938011169
clean,0,240,0.010315735824406147,0.8939999938011169
clean,0,250,0.0081883380189538,0.8939999938011169
clean,0,260,0.006261367816478014,0.8939999938011169
clean,0,270,0.004502942319959402,0.8939999938011169
clean,0,280,0.0028886166401207447,0.8939999938011169
clean,0,290,0.0014056740328669548,0.8939999938011169
clean,0,300,0.00012563768541440368,0.8939999938011169
clean,1,10,2.001983404159546,0.8920000195503235
clean,1,20,1.1682963371276855,0.8920000195503235
clean,1,30,0.6791092753410339,0.8920000195503235
clean,1,40,0.48028773069381714,0.8920000195503235
clean,1,50,0.3732932209968567,0.8920000195503235
clean,1,60,0.3067176043987274,0.8920000195503235
clean,1,70,0.24793821573257446,0.8920000195503235
clean,1,80,0.196506530046463,0.8920000195503235
clean,1,90,0.15475930273532867,0.8920000195503235
clean,1,100,0.12196339666843414,0.8920000195503235
clean,1,110,0.0972469300031662,0.8920000195503235
clean,1,120,0.07876361906528473,0.8920000195503235
clean,1,130,0.064813993871212,0.8920000195503235
clean,1,140,0.05406663939356804,0.8920000195503235
clean,1,150,0.045594893395900726,0.8920000195503235
clean,1,160,0.03873269259929657,0.8920000195503235
clean,1,170,0.033054154366254807,0.8920000195503235
clean,1,180,0.028263594955205917,0.8920000195503235
clean,1,190,0.024152178317308426,0.8920000195503235
clean,1,200,0.020583631470799446,0.8920000195503235
clean,1,210,0.017440304160118103,0.8920000195503235
clean,1,220,0.01465272530913353,0.8920000195503235
clean,1,230,0.012155452743172646,0.8920000195503235
clean,1,240,0.009902686811983585,0.8920000195503235
clean,1,250,0.007871941663324833,0.8920000195503235
clean,1,260,0.006019331514835358,0.8920000195503235
clean,1,270,0.004327071364969015,0.8920000195503235
clean,1,280,0.0027730725705623627,0.8920000195503235
clean,1,290,0.0013445140793919563,0.8920000195503235
clean,1,300,0.0001266932231374085,0.8920000195503235
clean,2,10,2.0139050483703613,0.8859999775886536
clean,2,20,1.1954864263534546,0.8859999775886536
clean,2,30,0.7243219614028931,0.8859999775886536
clean,2,40,0.5052670240402222,0.8859999775886536
clean,2,50,0.387760728597641,0.8859999775886536
clean,2,60,0.31613823771476746,0.8859999775886536
clean,2,70,0.25590449571609497,0.8859999775886536
clean,2,80,0.20275886356830597,0.8859999775886536
clean,2,90,0.16011853516101837,0.8859999775886536
clean,2,100,0.1268656998872757,0.8859999775886536
clean,2,110,0.10143684595823288,0.8859999775886536
clean,2,120,0.08229677379131317,0.8859999775886536
clean,2,130,0.06781666725873947,0.8859999775886536
clean,2,140,0.05656406283378601,0.8859999775886536
clean,2,150,0.04764687642455101,0.8859999775886536
clean,2,160,0.04033924266695976,0.8859999775886536
clean,2,170,0.03429437428712845,0.8859999775886536
clean,2,180,0.029231078922748566,0.8859999775886536
clean,2,190,0.02491391822695732,0.8859999775886536
clean,2,200,0.021170319989323616,0.8859999775886536
clean,2,210,0.017894010990858078,0.8859999775886536
clean,2,220,0.01499693002551794,0.8859999775886536
clean,2,230,0.0124200489372015,0.8859999775886536
clean,2,240,0.010116161778569221,0.8859999775886536
clean,2,250,0.008033220656216145,0.8859999775886536
clean,2,260,0.006143043749034405,0.8859999775886536
clean,2,270,0.004410215187817812,0.8859999775886536
clean,2,280,0.00282569439150393,0.8859999775886536
clean,2,290,0.0013744871830567718,0.8859999775886536
clean,2,300,0.0001305831247009337,0.8859999775886536
clean,3,10,1.9559801816940308,0.9020000100135803
clean,3,20,1.1898423433303833,0.9020000100135803
clean,3,30,0.7083790898323059,0.9020000100135803
clean,3,40,0.49076855182647705,0.9020000100135803
clean,3,50,0.3733264207839966,0.9020000100135803
clean,3,60,0.30408602952957153,0.9020000100135803
clean,3,70,0.2470194697380066,0.9020000100135803
clean,3,80,0.19729696214199066,0.9020000100135803
clean,3,90,0.1570948213338852,0.9020000100135803
clean,3,100,0.12559610605239868,0.9020000100135803
clean,3,110,0.10130007565021515,0.9020000100135803
clean,3,120,0.08263630419969559,0.9020000100135803
clean,3,130,0.06828165054321289,0.9020000100135803
clean,3,140,0.057003479450941086,0.9020000100135803
clean,3,150,0.04806148633360863,0.9020000100135803
clean,3,160,0.04078108072280884,0.9020000100135803
clean,3,170,0.034761279821395874,0.9020000100135803
clean,3,180,0.02969047799706459,0.9020000100135803
clean,3,190,0.025341304019093513,0.9020000100135803
clean,3,200,0.02157025970518589,0.9020000100135803
clean,3,210,0.018253548070788383,0.9020000100135803
clean,3,220,0.015317224897444248,0.9020000100135803
clean,3,230,0.012698451988399029,0.9020000100135803
clean,3,240,0.010342828929424286,0.9020000100135803
clean,3,250,0.008210716769099236,0.9020000100135803
clean,3,260,0.006277843378484249,0.9020000100135803
clean,3,270,0.004507408943027258,0.9020000100135803
clean,3,280,0.0028874059207737446,0.9020000100135803
clean,3,290,0.0014026268618181348,0.9020000100135803
clean,3,300,0.00011685142817441374,0.9020000100135803
clean,4,10,1.9741132259368896,0.8899999856948853
clean,4,20,1.1492090225219727,0.8899999856948853
clean,4,30,0.6900209784507751,0.8899999856948853
clean,4,40,0.4808977544307709,0.8899999856948853
clean,4,50,0.3715554177761078,0.8899999856948853
clean,4,60,0.3025525212287903,0.8899999856948853
clean,4,70,0.24440671503543854,0.8899999856948853
clean,4,80,0.19476556777954102,0.8899999856948853
clean,4,90,0.15544478595256805,0.8899999856948853
clean,4,100,0.12388043105602264,0.8899999856948853
clean,4,110,0.09997286647558212,0.8899999856948853
clean,4,120,0.0817657932639122,0.8899999856948853
clean,4,130,0.06780001521110535,0.8899999856948853
clean,4,140,0.05682273954153061,0.8899999856948853
clean,4,150,0.04803207516670227,0.8899999856948853
clean,4,160,0.04084966704249382,0.8899999856948853
clean,4,170,0.034869980067014694,0.8899999856948853
clean,4,180,0.029801860451698303,0.8899999856948853
clean,4,190,0.025462793186306953,0.8899999856948853
clean,4,200,0.021686017513275146,0.8899999856948853
clean,4,210,0.01836564391851425,0.8899999856948853
clean,4,220,0.015416743233799934,0.8899999856948853
clean,4,230,0.012782608158886433,0.8899999856948853
clean,4,240,0.010413415729999542,0.8899999856948853
clean,4,250,0.008275682106614113,0.8899999856948853
clean,4,260,0.006329879630357027,0.8899999856948853
clean,4,270,0.004546286538243294,0.8899999856948853
clean,4,280,0.002917936537414789,0.8899999856948853
clean,4,290,0.0014100439148023725,0.8899999856948853
clean,4,300,0.00011997857654932886,0.8899999856948853
clean,5,10,1.9365460872650146,0.8980000019073486
clean,5,20,1.1235228776931763,0.8980000019073486
clean,5,30,0.6759394407272339,0.8980000019073486
clean,5,40,0.47310909628868103,0.8980000019073486
clean,5,50,0.3684156537055969,0.8980000019073486
clean,5,60,0.3022679090499878,0.8980000019073486
clean,5,70,0.24439705908298492,0.8980000019073486
clean,5,80,0.1937650591135025,0.8980000019073486
clean,5,90,0.15305685997009277,0.8980000019073486
