experiment,dataset,corruption_type,stress_level,objective,eval_trustworthiness_mean,eval_trustworthiness_std,eval_trustworthiness_n,eval_continuity_mean,eval_continuity_std,eval_continuity_n,eval_neighborhood_recall_k5_mean,eval_neighborhood_recall_k5_std,eval_neighborhood_recall_k5_n,eval_neighborhood_recall_k10_mean,eval_neighborhood_recall_k10_std,eval_neighborhood_recall_k10_n,eval_neighborhood_recall_k20_mean,eval_neighborhood_recall_k20_std,eval_neighborhood_recall_k20_n,eval_geodesic_spearman_mean,eval_geodesic_spearman_std,eval_geodesic_spearman_n,eval_pairwise_distortion_mean,eval_pairwise_distortion_std,eval_pairwise_distortion_n,eval_neighborhood_recall_mean,eval_neighborhood_recall_std,eval_neighborhood_recall_n,eval_silhouette_mean,eval_silhouette_std,eval_silhouette_n,eval_knn_accuracy_mean,eval_knn_accuracy_std,eval_knn_accuracy_n,eval_local_label_purity_mean,eval_local_label_purity_std,eval_local_label_purity_n,eval_corrupted_edge_preservation_mean,eval_corrupted_edge_preservation_std,eval_corrupted_edge_preservation_n,eval_corrupted_edge_q_mass_mean,eval_corrupted_edge_q_mass_std,eval_corrupted_edge_q_mass_n,eval_outlier_influence_mean,eval_outlier_influence_std,eval_outlier_influence_n,eval_between_manifold_leakage_mean,eval_between_manifold_leakage_std,eval_between_manifold_leakage_n,eval_false_neighbor_rate_mean,eval_false_neighbor_rate_std,eval_false_neighbor_rate_n,eval_boundary_label_purity_mean,eval_boundary_label_purity_std,eval_boundary_label_purity_n,eval_bridge_edge_preservation_mean,eval_bridge_edge_preservation_std,eval_bridge_edge_preservation_n
global_geometry,s_curve,none,0.0,fisher_rao,0.9555962059620595,0.006749150155934562,5,0.5993,0.01777849824928979,5,0.4952,0.0062609903369994415,5,0.5993,0.01777849824928979,5,0.6713,0.020571825392998035,5,0.6662479545276768,0.011384600459681008,5,0.6762441396713257,0.010882323836276466,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
global_geometry,s_curve,none,0.0,kl,0.9293441734417345,0.0016346428796161242,5,0.5308999999999999,0.0035777087639996172,5,0.44279999999999997,0.0017888543819998333,5,0.5308999999999999,0.0035777087639996172,5,0.623,0.010621322893123973,5,0.6803990465714855,0.010446711106618852,5,0.6670290350914001,0.009253763109882032,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
global_geometry,s_curve,none,0.05,fisher_rao,0.955411382113821,0.00795449308493299,5,0.5948,0.01995181695986607,5,0.48580000000000007,0.020933227175951634,5,0.5948,0.01995181695986607,5,0.6530999999999999,0.02440005122945443,5,0.6493115309928597,0.02792623213341221,5,0.6906494140625,0.021488692228107235,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
global_geometry,s_curve,none,0.05,kl,0.9290948509485094,0.0005635618479877359,5,0.5296000000000001,0.004533210782657302,5,0.4433999999999999,0.010285912696499016,5,0.5296000000000001,0.004533210782657302,5,0.6158999999999999,0.008608861713374187,5,0.6807661314211548,0.009947703524789249,5,0.6659854769706726,0.009081711007017304,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
global_geometry,s_curve,none,0.1,fisher_rao,0.9500921409214091,0.0015662292088112065,5,0.5741999999999999,0.006350196847342604,5,0.4662,0.013971399357258352,5,0.5741999999999999,0.006350196847342604,5,0.6396,0.016106675634655326,5,0.6390500331677348,0.026101371914418213,5,0.7009246587753296,0.02175472043497704,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
global_geometry,s_curve,none,0.1,kl,0.9128276422764227,0.018405280741617038,5,0.5057,0.0280035712008308,5,0.41880000000000006,0.02310194796981415,5,0.5057,0.0280035712008308,5,0.5803,0.0343826809600415,5,0.5832640509878412,0.18091749408162852,5,0.7447689294815063,0.1444602522446193,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
global_geometry,swiss_roll,none,0.0,fisher_rao,0.9201745257452576,0.013770093128975711,5,0.5089999999999999,0.026755840483901817,5,0.4427999999999999,0.03343202057907958,5,0.5089999999999999,0.026755840483901817,5,0.5949,0.008410558839934471,5,0.3759926082079293,0.15331827667951806,5,0.8611243963241577,0.1130422281830582,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
global_geometry,swiss_roll,none,0.0,kl,0.9064802168021681,0.01700119992119059,5,0.49460000000000004,0.03341107600781516,5,0.4368,0.05732974794990816,5,0.49460000000000004,0.03341107600781516,5,0.58005,0.012484240064977887,5,0.39317604263151784,0.17709600448558963,5,0.8419862270355225,0.13617846840131603,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
global_geometry,swiss_roll,none,0.05,fisher_rao,0.915059620596206,0.0140311528149026,5,0.4946999999999999,0.025163465580082575,5,0.41859999999999997,0.03559915729339668,5,0.4946999999999999,0.025163465580082575,5,0.58935,0.011364143170516627,5,0.4480323811103881,0.15254204455094794,5,0.8054646372795105,0.11432756839723501,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
global_geometry,swiss_roll,none,0.05,kl,0.9060834688346884,0.01743063954683785,5,0.49169999999999997,0.027112266596505685,5,0.42440000000000005,0.05696314598053736,5,0.49169999999999997,0.027112266596505685,5,0.5782499999999999,0.011639104346984775,5,0.3939168978148693,0.17616979503382893,5,0.8413659811019898,0.135426668014893,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
global_geometry,swiss_roll,none,0.1,fisher_rao,0.9152086720867209,0.013918008075987538,5,0.4931,0.0261543495426669,5,0.41740000000000005,0.0336570943487402,5,0.4931,0.0261543495426669,5,0.59195,0.010830223912736076,5,0.4481947432644646,0.15170123048030146,5,0.805281913280487,0.11374295202095311,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
global_geometry,swiss_roll,none,0.1,kl,0.9064937669376694,0.01731040776592208,5,0.4941,0.032041769614052217,5,0.42000000000000004,0.054772255750516634,5,0.4941,0.032041769614052217,5,0.5796,0.012871480101371385,5,0.3947169067088315,0.1751490172210361,5,0.8407292246818543,0.1346185821075964,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noisy_affinity,blobs,none,0.0,fisher_rao,0.9668373983739837,0.0,5,,,,,,,,,,,,,,,,,,,0.425,0.0,5,0.8237445116043091,5.331201499700044e-08,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,0.0,0.0,5,,,,,,,,,,,,,,,
noisy_affinity,blobs,none,0.0,kl,0.9668644986449865,0.0,5,,,,,,,,,,,,,,,,,,,0.4255,0.0,5,0.823101806640625,2.6656007498500224e-08,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,0.0,0.0,5,,,,,,,,,,,,,,,
noisy_affinity,blobs,none,0.05,fisher_rao,0.9593224932249322,0.0012557942176466255,5,,,,,,,,,,,,,,,,,,,0.3718,0.007242237223399956,5,0.7981639981269837,0.003775079686626853,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,0.0019741564989089965,8.437727291223975e-05,5,,,,,,,,,,,,,,,
noisy_affinity,blobs,none,0.05,kl,0.9515983739837399,0.0012565227030969693,5,,,,,,,,,,,,,,,,,,,0.3262,0.005858754133772823,5,0.681110942363739,0.012054265894448938,5,0.9933333333333334,0.014907119849998594,5,0.9884999999999999,0.006314665470157574,5,0.025,0.025,5,0.0027272607665508987,0.00012085464651233819,5,,,,,,,,,,,,,,,
noisy_affinity,blobs,none,0.1,fisher_rao,0.955950135501355,0.0019094834409875635,5,,,,,,,,,,,,,,,,,,,0.34409999999999996,0.01151846343919186,5,0.7766900181770324,0.005952542636119419,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,0.003811374120414257,0.00016514808097021876,5,,,,,,,,,,,,,,,
noisy_affinity,blobs,none,0.1,kl,0.9369642276422763,0.004944881453207594,5,,,,,,,,,,,,,,,,,,,0.259,0.016228832367117467,5,0.5891308903694152,0.022718127817546598,5,0.9799999999999999,0.013944333775567915,5,0.9640000000000001,0.015799525309324963,5,0.0725,0.06578848683470383,5,0.005376507434993983,0.00033734247901303065,5,,,,,,,,,,,,,,,
noisy_affinity,blobs,none,0.2,fisher_rao,0.9507143631436314,0.0018598572642181163,5,,,,,,,,,,,,,,,,,,,0.3115,0.008536685539481925,5,0.7331095933914185,0.0077748823496782095,5,1.0,0.0,5,0.9991,0.0010839741694339332,5,0.0,0.0,5,0.007735924050211907,0.0002324622254875422,5,,,,,,,,,,,,,,,
