dataset,eval_bce_per_pixel_n,eval_bce_per_pixel_mean_diff_fr_minus_kl,eval_bce_per_pixel_oriented_mean_diff,eval_bce_per_pixel_wilcoxon_stat,eval_bce_per_pixel_wilcoxon_p,eval_bce_per_pixel_cliffs_delta,eval_mse_n,eval_mse_mean_diff_fr_minus_kl,eval_mse_oriented_mean_diff,eval_mse_wilcoxon_stat,eval_mse_wilcoxon_p,eval_mse_cliffs_delta,eval_latent_knn_accuracy_n,eval_latent_knn_accuracy_mean_diff_fr_minus_kl,eval_latent_knn_accuracy_oriented_mean_diff,eval_latent_knn_accuracy_wilcoxon_stat,eval_latent_knn_accuracy_wilcoxon_p,eval_latent_knn_accuracy_cliffs_delta,eval_latent_linear_accuracy_n,eval_latent_linear_accuracy_mean_diff_fr_minus_kl,eval_latent_linear_accuracy_oriented_mean_diff,eval_latent_linear_accuracy_wilcoxon_stat,eval_latent_linear_accuracy_wilcoxon_p,eval_latent_linear_accuracy_cliffs_delta,eval_latent_silhouette_n,eval_latent_silhouette_mean_diff_fr_minus_kl,eval_latent_silhouette_oriented_mean_diff,eval_latent_silhouette_wilcoxon_stat,eval_latent_silhouette_wilcoxon_p,eval_latent_silhouette_cliffs_delta,eval_active_units_n,eval_active_units_mean_diff_fr_minus_kl,eval_active_units_oriented_mean_diff,eval_active_units_wilcoxon_stat,eval_active_units_wilcoxon_p,eval_active_units_cliffs_delta,eval_aggregated_posterior_mmd_n,eval_aggregated_posterior_mmd_mean_diff_fr_minus_kl,eval_aggregated_posterior_mmd_oriented_mean_diff,eval_aggregated_posterior_mmd_wilcoxon_stat,eval_aggregated_posterior_mmd_wilcoxon_p,eval_aggregated_posterior_mmd_cliffs_delta,eval_sample_test_mmd_n,eval_sample_test_mmd_mean_diff_fr_minus_kl,eval_sample_test_mmd_oriented_mean_diff,eval_sample_test_mmd_wilcoxon_stat,eval_sample_test_mmd_wilcoxon_p,eval_sample_test_mmd_cliffs_delta,eval_sample_pixel_variance_n,eval_sample_pixel_variance_mean_diff_fr_minus_kl,eval_sample_pixel_variance_oriented_mean_diff,eval_sample_pixel_variance_wilcoxon_stat,eval_sample_pixel_variance_wilcoxon_p,eval_sample_pixel_variance_cliffs_delta,eval_noise_0.25_dropout_0_bce_per_pixel_n,eval_noise_0.25_dropout_0_bce_per_pixel_mean_diff_fr_minus_kl,eval_noise_0.25_dropout_0_bce_per_pixel_oriented_mean_diff,eval_noise_0.25_dropout_0_bce_per_pixel_wilcoxon_stat,eval_noise_0.25_dropout_0_bce_per_pixel_wilcoxon_p,eval_noise_0.25_dropout_0_bce_per_pixel_cliffs_delta,eval_noise_0.5_dropout_0_bce_per_pixel_n,eval_noise_0.5_dropout_0_bce_per_pixel_mean_diff_fr_minus_kl,eval_noise_0.5_dropout_0_bce_per_pixel_oriented_mean_diff,eval_noise_0.5_dropout_0_bce_per_pixel_wilcoxon_stat,eval_noise_0.5_dropout_0_bce_per_pixel_wilcoxon_p,eval_noise_0.5_dropout_0_bce_per_pixel_cliffs_delta,eval_noise_0_dropout_0.25_bce_per_pixel_n,eval_noise_0_dropout_0.25_bce_per_pixel_mean_diff_fr_minus_kl,eval_noise_0_dropout_0.25_bce_per_pixel_oriented_mean_diff,eval_noise_0_dropout_0.25_bce_per_pixel_wilcoxon_stat,eval_noise_0_dropout_0.25_bce_per_pixel_wilcoxon_p,eval_noise_0_dropout_0.25_bce_per_pixel_cliffs_delta,eval_noise_0_dropout_0.5_bce_per_pixel_n,eval_noise_0_dropout_0.5_bce_per_pixel_mean_diff_fr_minus_kl,eval_noise_0_dropout_0.5_bce_per_pixel_oriented_mean_diff,eval_noise_0_dropout_0.5_bce_per_pixel_wilcoxon_stat,eval_noise_0_dropout_0.5_bce_per_pixel_wilcoxon_p,eval_noise_0_dropout_0.5_bce_per_pixel_cliffs_delta,eval_stable_n,eval_stable_mean_diff_fr_minus_kl,eval_stable_oriented_mean_diff,eval_stable_wilcoxon_stat,eval_stable_wilcoxon_p,eval_stable_cliffs_delta
fashion_mnist,5,0.0024696215987205505,-0.0024696215987205505,3.0,0.3125,0.28,5,0.0011784184724092483,-0.0011784184724092483,4.0,0.4375,0.28,5,0.01328125,0.01328125,5.0,0.625,0.04,5,-0.0109375,-0.0109375,5.0,0.625,-0.32,5,-0.01629347037523985,-0.01629347037523985,3.0,0.3125,-0.36,5,0.0,0.0,0.0,1.0,0.0,5,-0.00019559860229492187,0.00019559860229492187,7.0,1.0,0.04,5,0.003077411651611328,-0.003077411651611328,4.0,0.4375,0.2,5,-0.00010348809882998466,-0.00010348809882998466,0.0,0.0625,-0.68,5,0.0026433750987052917,-0.0026433750987052917,3.0,0.3125,0.28,5,0.001801455020904541,-0.001801455020904541,5.0,0.625,0.12,5,0.0019332513213157654,-0.0019332513213157654,4.0,0.4375,0.2,5,0.001006801426410675,-0.001006801426410675,5.0,0.625,0.04,5,0.0,0.0,0.0,1.0,0.0
mnist,5,0.0018415540456771851,-0.0018415540456771851,1.0,0.125,0.12,5,0.0002788163721561432,-0.0002788163721561432,2.0,0.1875,0.28,5,-0.0015625,-0.0015625,6.5,0.875,-0.12,5,0.00546875,0.00546875,4.0,0.4375,0.16,5,-0.0013250261545181274,-0.0013250261545181274,5.0,0.625,-0.04,5,0.2,0.2,2.0,1.0,0.2,5,0.032696664333343506,-0.032696664333343506,5.0,0.625,0.28,5,-0.000620722770690918,0.000620722770690918,7.0,1.0,-0.12,5,-2.818675711750984e-05,-2.818675711750984e-05,0.0,0.0625,-0.2,5,0.004152274131774903,-0.004152274131774903,2.0,0.1875,0.52,5,0.005829921364784241,-0.005829921364784241,2.0,0.1875,0.44,5,-0.001064722239971161,0.001064722239971161,5.0,0.625,-0.2,5,-0.004152563214302063,0.004152563214302063,3.0,0.3125,-0.28,5,0.0,0.0,0.0,1.0,0.0
