dataset,noise_regime,objective,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_n,eval_ece_mean,eval_ece_std,eval_ece_n,eval_brier_mean,eval_brier_std,eval_brier_n,eval_nll_mean,eval_nll_std,eval_nll_n
digits,asym_40,fisher_rao,0.6027777777777777,0.037588487278119344,10,0.25330672551360395,0.0341359833548771,10,0.6237303197383881,0.050367730490361265,10,1.4138060092926026,0.14666985425357587,10
digits,asym_40,gce,0.6094444444444445,0.036716202976921825,10,0.2590257755998108,0.03398605343911464,10,0.6320558369159699,0.056175350827496424,10,1.4949243903160094,0.18156430157036998,10
digits,asym_40,hellinger,0.6066666666666667,0.03242592063794192,10,0.24888506436513533,0.029288061858707484,10,0.6213328838348389,0.04892640996182481,10,1.38984614610672,0.14479360956046622,10
digits,asym_40,kl,0.6105555555555556,0.02880210135604703,10,0.22896694229708778,0.02490584773763953,10,0.5966477394104004,0.04591926220442217,10,1.242927658557892,0.11067884144662091,10
digits,asym_40,mae,0.6725000000000001,0.03800697539040006,10,0.23269510505927932,0.03364050263035636,10,0.5450162857770919,0.06914508633886259,10,1.4917070269584656,0.22574041504862316,10
digits,asym_40,sce,0.6119444444444445,0.025927579312358243,10,0.27521576625605426,0.029951240804052426,10,0.6423340082168579,0.05395856782075021,10,1.6859942078590393,0.2046263747352969,10
digits,clean,fisher_rao,0.9788888888888888,0.0043822813208145356,10,0.0110417894853486,0.0030903960175941254,10,0.03053746223449707,0.004577337664314099,10,0.07243704199790954,0.013960185506962625,10
digits,clean,gce,0.9799999999999999,0.004684855792842059,10,0.011915522221889761,0.0037752164900579205,10,0.03036160096526146,0.005105999165363365,10,0.07179902754724025,0.012339605922040727,10
digits,clean,hellinger,0.9805555555555555,0.004536092116265158,10,0.011014281916949479,0.004692770664782827,10,0.029788997024297714,0.004478478487138133,10,0.07043316885828972,0.010975711869611268,10
digits,clean,kl,0.9791666666666666,0.004192307934322863,10,0.009331538594431355,0.005102157032226704,10,0.029962190985679628,0.004318775465563547,10,0.07021318972110749,0.012820435141857505,10
digits,clean,mae,0.9799999999999999,0.005037581669902013,10,0.013137800610727746,0.004002016954875792,10,0.030778584256768226,0.004724156942237444,10,0.07351767681539059,0.01380922247994749,10
digits,clean,sce,0.9791666666666666,0.006708970715828438,10,0.014052051222986653,0.0034738224461720243,10,0.03131238613277674,0.00571788345634368,10,0.0757674690335989,0.015410298533183302,10
digits,sym_20,fisher_rao,0.8644444444444443,0.01681008254505218,10,0.04174508485529156,0.006906502904832389,10,0.20513081103563308,0.024039967329740963,10,0.49528734385967255,0.0678474895011076,10
digits,sym_20,gce,0.9244444444444445,0.014392117946463275,10,0.02910595062706205,0.00896077931734657,10,0.11294110864400864,0.02122302576567648,10,0.2797993034124374,0.06509334576437026,10
