noise_regime,objective,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_n,eval_ece_mean,eval_ece_std,eval_ece_n,eval_brier_mean,eval_brier_std,eval_brier_n,eval_nll_mean,eval_nll_std,eval_nll_n
asym_40,fisher_rao,0.62025,0.014857190552426491,10,0.042713747831434015,0.011094338273331983,10,0.5222765535116196,0.01499537798533103,10,1.1293867468833922,0.04243749743767946,10
asym_40,gce,0.6469499999999998,0.014486487957173532,10,0.10565496694445611,0.014842152979756515,10,0.506320008635521,0.020041859034784535,10,1.1839597463607787,0.05689634499266544,10
asym_40,hellinger,0.64765,0.012373919705933484,10,0.03425116572901606,0.007848913508310603,10,0.4954471528530121,0.015165150506306279,10,1.0618452072143554,0.04186398847379618,10
asym_40,kl,0.647,0.018408935028645445,10,0.10059346470311284,0.013936931255892222,10,0.5134247213602066,0.012448794074920031,10,1.0184519946575166,0.02839763102181855,10
asym_40,mae,0.5197,0.04580162539570936,10,0.4000796562023461,0.05313215320124195,10,0.8602013289928436,0.09848240245866047,10,4.192985272407531,0.7495883961646158,10
asym_40,sce,0.6340000000000001,0.022692387367671214,10,0.22761388603523378,0.0190736598841677,10,0.5772889912128448,0.0345014878666838,10,1.7555502891540526,0.10430800708095828,10
clean,fisher_rao,0.84175,0.00574093488321662,10,0.08280893831253051,0.005699179142641175,10,0.2438765808939934,0.010079497595967464,10,0.6066887855529786,0.03344170971645401,10
clean,gce,0.81985,0.005185717565261983,10,0.10535053003430365,0.004057712668614996,10,0.2875153750181198,0.008332375727759963,10,0.7626620888710022,0.040276456109073364,10
clean,hellinger,0.8281000000000001,0.004724639903973886,10,0.07761428666487336,0.004594421068988886,10,0.26154113560914993,0.008318348150489168,10,0.6089531481266022,0.02439983939144904,10
clean,kl,0.8411,0.009176661218063537,10,0.04405443472862243,0.008779528684142588,10,0.22973165959119796,0.010797016070933625,10,0.4877484768629074,0.021381379084179766,10
clean,mae,0.7157500000000001,0.03428819848804476,10,0.2304710245832801,0.034340581964740866,10,0.5020666033029556,0.06733496746240922,10,2.162701690196991,0.40760876843390803,10
clean,sce,0.7802,0.01025832994855075,10,0.16827222265973685,0.008764392192018987,10,0.37761237621307375,0.017142203336155563,10,1.4466098308563233,0.07363248649987349,10
sym_20,fisher_rao,0.8135999999999999,0.007030884249746488,10,0.06733674507662656,0.007073183713711359,10,0.27398804426193235,0.011808668983252193,10,0.6206728398799897,0.025924343219803626,10
sym_20,gce,0.79545,0.004924146852219397,10,0.11189656996428968,0.004644339916206478,10,0.3158364027738571,0.010169392026461622,10,0.7889661192893982,0.03722368708202182,10
sym_20,hellinger,0.8038000000000001,0.0077430972843917974,10,0.06866270929500459,0.007083477575909445,10,0.2866050064563751,0.009681649662190138,10,0.6297421097755432,0.026224270553869233,10
sym_20,kl,0.79025,0.00854481649240575,10,0.09803779745995997,0.009906735779033601,10,0.31269257366657255,0.0075506601610717304,10,0.7046478033065796,0.013836293426141994,10
sym_20,mae,0.68245,0.024682933825261193,10,0.25114454139471054,0.030344753194063358,10,0.5528828650712967,0.051330289353834324,10,2.305995965003967,0.3824929015603289,10
sym_20,sce,0.7539499999999999,0.010555277774122712,10,0.17721563218459488,0.009230248242665506,10,0.4131436884403229,0.016823299000471456,10,1.409872543811798,0.07642618705333075,10
sym_40,fisher_rao,0.7496,0.008993207313176831,10,0.024710630673915143,0.0039376104542282854,10,0.3500091671943665,0.007451180901659713,10,0.7744455814361573,0.017443111795576595,10
sym_40,gce,0.76005,0.007865006887049329,10,0.11245060658901929,0.0068676846426265585,10,0.3615214258432388,0.010561381060784702,10,0.8564390361309051,0.034778167216267086,10
sym_40,hellinger,0.7613500000000001,0.006608286044387344,10,0.02942522716224193,0.0038477093645775903,10,0.3352596998214722,0.008417047672744968,10,0.7256179094314575,0.019843836343035316,10
sym_40,kl,0.7258500000000001,0.00835680029144596,10,0.23283770370110873,0.01034241913759491,10,0.4545998364686966,0.0048548998251341825,10,1.0501468420028686,0.011656760233402176,10
sym_40,mae,0.6298499999999999,0.0362690945878474,10,0.29359937133491043,0.03501122646273524,10,0.6460123181343078,0.06770783533113542,10,2.661260390281677,0.39788591872538553,10
sym_40,sce,0.7055,0.013358309939675937,10,0.1916972314074636,0.010819590279556646,10,0.47218990623950957,0.01970072553818263,10,1.3865137338638305,0.05887765161305103,10
sym_60,fisher_rao,0.6162000000000001,0.0141739197119216,10,0.12257686153873801,0.01638461388293595,10,0.5413178443908692,0.008978101945277784,10,1.2499914407730102,0.023295288352175002,10
sym_60,gce,0.6769000000000001,0.020807050087250076,10,0.09282458283901214,0.019178008301351978,10,0.45351721048355104,0.025134669407444396,10,1.016483449935913,0.05484826189292354,10
sym_60,hellinger,0.6580999999999999,0.017852481931404138,10,0.08526314634606243,0.017182406299250552,10,0.48036675751209257,0.015607525363670533,10,1.0909960865974426,0.03583238119313933,10
sym_60,kl,0.5817499999999999,0.01366514219139749,10,0.29337480404376987,0.013812562636206309,10,0.6770351350307464,0.0073000064311092554,10,1.5764216542243958,0.01932103029249013,10
sym_60,mae,0.5304,0.03156721224449331,10,0.3712226964205504,0.03285106128778022,10,0.8142347693443298,0.06147407962032444,10,3.309273338317871,0.4043890693637772,10
sym_60,sce,0.59985,0.011525454919920132,10,0.22177443896904586,0.012128558870423816,10,0.609236091375351,0.0213112435767873,10,1.5796570897102356,0.0636954524169929,10
