noise_regime,objective,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_n,eval_ece_mean,eval_ece_std,eval_ece_n,eval_brier_mean,eval_brier_std,eval_brier_n,eval_nll_mean,eval_nll_std,eval_nll_n
asym_40,fisher_rao,0.5974999999999999,0.03090914104274011,5,0.05204942243099213,0.014101773370647002,5,0.5661456942558288,0.031308731025108436,5,1.2590357303619384,0.06823219358743336,5
asym_40,gce,0.3726999999999999,0.015340306385467026,5,0.18343960084319114,0.017527753795499007,5,0.8106699466705323,0.022188619579844648,5,2.082085132598877,0.07347147492009334,5
asym_40,hellinger,0.3359,0.024265201420964968,5,0.04036053749322892,0.015710157006734535,5,0.7886241674423218,0.014575607427279695,5,1.859175181388855,0.03580981378545859,5
asym_40,kl,0.5159999999999999,0.027850044883267262,5,0.1469754142731428,0.023430363547306675,5,0.6719378232955933,0.015625652066867054,5,1.4489415645599366,0.03000555070199482,5
asym_40,mae,0.20390000000000003,0.018477689249470564,5,0.758193481849134,0.033685654653297224,5,1.538113260269165,0.0561010592895676,5,12.167719841003418,1.2669846589123153,5
asym_40,sce,0.5156000000000001,0.021567915986483256,5,0.3149703853070736,0.01842186344603394,5,0.7666832089424134,0.03653710635469994,5,2.2961705684661866,0.13326287046149912,5
clean,fisher_rao,0.7844,0.008619744775804001,5,0.08966592056155209,0.005079557241365821,5,0.32166815400123594,0.012178309683036107,5,0.7705095887184144,0.03190772736375441,5
clean,gce,0.5079,0.023214758236949178,5,0.2734681612208486,0.01831152872944414,5,0.737233567237854,0.0348656084274841,5,2.0729567766189576,0.15835322197365992,5
clean,hellinger,0.4736000000000001,0.013961554354727113,5,0.16739611729085446,0.007840435113112528,5,0.7014340758323669,0.014332178199556758,5,1.6468495368957519,0.04815090853659425,5
clean,kl,0.7314999999999999,0.013661076092314256,5,0.02231673468500376,0.007559307726260294,5,0.3740828275680542,0.01630022541537754,5,0.7816060066223145,0.02767901888652067,5
clean,mae,0.23279999999999998,0.03305034039159052,5,0.7619966800272465,0.03064135697178464,5,1.5260961055755615,0.06200428401940096,5,13.640729713439942,0.7337699077512064,5
clean,sce,0.6980999999999999,0.006308724118235019,5,0.2247474266320467,0.005366671443830545,5,0.5117834329605102,0.01130347700057384,5,1.8612872123718263,0.03426334490001342,5
sym_20,fisher_rao,0.7565000000000001,0.005533985905294623,5,0.06294085100442172,0.0037774341235305123,5,0.34595059752464297,0.008168761530449473,5,0.7615456700325012,0.015921455397063116,5
sym_20,gce,0.46129999999999993,0.02349627630072475,5,0.26486319555044174,0.0161981499311562,5,0.7723762273788453,0.0319584649333985,5,2.0544955015182493,0.15378239047430856,5
sym_20,hellinger,0.42699999999999994,0.023369317491103585,5,0.11389610436558724,0.0112851294366572,5,0.7211200714111328,0.018057464547051708,5,1.6391945600509643,0.05250817917003916,5
sym_20,kl,0.6591,0.009482879309576836,5,0.15731585508883,0.009206655283871714,5,0.4942318320274353,0.007108160731977006,5,1.09867525100708,0.013556287285350884,5
sym_20,mae,0.2144,0.02438595907484469,5,0.7778585360437631,0.025635039472186684,5,1.5598798513412475,0.049621246424617356,5,13.533333587646485,0.8715848180701026,5
sym_20,sce,0.6786000000000001,0.006513447627792844,5,0.22994163194000722,0.004610258182941301,5,0.5320502042770385,0.008807224561220314,5,1.7838650465011596,0.07303221627021397,5
sym_40,fisher_rao,0.6835,0.008824681297361393,5,0.027485701772570613,0.005645923626003099,5,0.4305835604667664,0.00749882609803241,5,0.9438198566436767,0.012769991329186305,5
sym_40,gce,0.4074,0.023609849639504264,5,0.2037512761414051,0.008086648066624213,5,0.7850077509880066,0.019427905977244964,5,1.9442960977554322,0.09392313377904121,5
sym_40,hellinger,0.3433,0.030853686975789454,5,0.025048434889316552,0.005434608028555294,5,0.7774288892745972,0.022579063083040366,5,1.8280115365982055,0.07220412427796138,5
sym_40,kl,0.5571,0.007659960835409023,5,0.23372948675900695,0.009161002687966097,5,0.6493894696235657,0.005673068835224249,5,1.4890571594238282,0.013621415233316562,5
sym_40,mae,0.2298,0.058961428069543916,5,0.7471575346171856,0.08131989403408223,5,1.5080530881881713,0.1452278929253754,5,12.322738456726075,2.160004866506977,5
sym_40,sce,0.628,0.013214575286402509,5,0.2366509321093559,0.008916913631609633,5,0.5916987895965576,0.01561221940314092,5,1.706119990348816,0.045957128262459075,5
sym_60,fisher_rao,0.5378000000000001,0.01154123043700283,5,0.1563911842286587,0.011661644476135014,5,0.634964919090271,0.0039204977863592245,5,1.4639927625656128,0.006013076029240049,5
sym_60,gce,0.2904,0.03288312637204681,5,0.03413076880276203,0.01414486167494043,5,0.8226171731948853,0.015608351279046412,5,1.993062686920166,0.05054526783421961,5
sym_60,hellinger,0.2263,0.04644432150435616,5,0.07983402328342201,0.03261663365273678,5,0.8709994673728942,0.012606412871571316,5,2.1726475238800047,0.05022628698287924,5
sym_60,kl,0.4403,0.009444575162494084,5,0.24295541990101338,0.007593589056054445,5,0.7906185746192932,0.005294577286147578,5,1.880293869972229,0.014925285017483416,5
sym_60,mae,0.2131,0.027661796760152797,5,0.7111439297601582,0.06067812352429455,5,1.4699296236038208,0.09789075969902933,5,10.345110416412354,1.7586328996248006,5
sym_60,sce,0.5261,0.01188696765369538,5,0.25664216280281543,0.013250357236472356,5,0.7102854013442993,0.017208842118628397,5,1.8179822206497191,0.04673706741951151,5
